"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'No.'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Artist'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Song'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Chart issue date'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Weeks at number one'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Ref.'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 're'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Zedd featuring Selena Gomez'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""I Want You to Know""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 28, 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '20'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'David Guetta featuring Nicki Minaj, Bebe Rexha and Afrojack'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Hey Mama""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'May 2, 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '11'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '21'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Skrillex & Diplo featuring Justin Bieber'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Where Are Ü Now""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 18, 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '22'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '‡ Major Lazer & DJ Snake featuring MØ'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Lean On""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'August 1, 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '23'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 7, 'is_header': True, 'row_span': 1, 'value': '2016'}",,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '23'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Chainsmokers featuring ROZES'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Roses""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'January 9, 2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '14'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '24'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Zara Larsson and MNEK'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Never Forget You""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'April 16, 2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '25'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '‡The Chainsmokers featuring Daya'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Don\'t Let Me Down""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'May 7, 2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '26'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Calvin Harris featuring Rihanna'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""This Is What You Came For""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 30, 2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '27'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Major Lazer featuring Justin Bieber and MØ'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Cold Water""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'August 13, 2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 're'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Calvin Harris featuring Rihanna'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""This Is What You Came For""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'August 20, 2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 're'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Major Lazer featuring Justin Bieber and MØ'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Cold Water""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'August 27, 2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '28'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Chainsmokers featuring Halsey'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Closer""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'September 3, 2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '27'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 7, 'is_header': True, 'row_span': 1, 'value': '2017'}",,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '29'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Chainsmokers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Paris""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 11, 2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '30'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '‡The Chainsmokers and Coldplay'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Something Just like This""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 18, 2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 're'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Chainsmokers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Paris""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 25, 2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 're'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '‡The Chainsmokers and Coldplay'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Something Just like This""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'April 1, 2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '31'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Zedd and Alessia Cara'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Stay""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'May 6, 2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 're'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '‡The Chainsmokers and Coldplay'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Something Just like This""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'May 13, 2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 're'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Zedd and Alessia Cara'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Stay""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'June 10, 2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 're'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '‡The Chainsmokers and Coldplay'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Something Just like This""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'June 24, 2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 're'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Zedd and Alessia Cara'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Stay""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 22, 2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 're'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '‡The Chainsmokers and Coldplay'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Something Just like This""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'August 19, 2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '32'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Calvin Harris featuring Pharrell Williams, Katy Perry and Big Sean'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Feels""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'September 9, 2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 're'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '‡The Chainsmokers and Coldplay'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Something Just like This""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'September 30, 2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '33'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Selena Gomez and Marshmello'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Wolves""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 18, 2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 're'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '‡The Chainsmokers and Coldplay'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Something Just like This""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 25, 2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '34'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Marshmello featuring Khalid'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Silence""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'December 2, 2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 're'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Selena Gomez and Marshmello'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Wolves""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'December 9, 2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 7, 'is_header': True, 'row_span': 1, 'value': '2018'}",,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '35'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '‡ Zedd, Maren Morris and Grey'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""The Middle""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'February 10, 2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '33'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '36'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Marshmello and Bastille'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Happier""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'September 29, 2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '30'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
