"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Year'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Champions'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Runners-up'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Score'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1988'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Martina Navratilova United States Pam Shriver'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'West Germany Claudia Kohde-Kilsch Czechoslovakia Helena Suková'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–2, 7–5'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1989'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Soviet Union Larisa Savchenko Neiland Soviet Union Natalia Zvereva'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'West Germany Steffi Graf Argentina Gabriela Sabatini'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–4, 6–4'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1990'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Czechoslovakia Jana Novotná Czechoslovakia Helena Suková'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Soviet Union Larisa Savchenko Neiland Soviet Union Natalia Zvereva'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–4, 7–5'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1991'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Gigi Fernández Czechoslovakia Jana Novotná'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Soviet Union Larisa Savchenko Neiland Soviet Union Natalia Zvereva'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–4, 6–0'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1992'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Gigi Fernández Belarus Natalia Zvereva'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Spain Conchita Martínez Spain Arantxa Sánchez Vicario'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–3, 6–2'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1993'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Gigi Fernández Belarus Natalia Zvereva'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Latvia Larisa Savchenko Neiland Czech Republic Jana Novotná'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–3, 7–5'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1994'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Gigi Fernández Belarus Natalia Zvereva'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Lindsay Davenport United States Lisa Raymond'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–2, 6–2'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1995'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Gigi Fernández Belarus Natalia Zvereva'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Czech Republic Jana Novotná Spain Arantxa Sánchez Vicario'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–7(6–8), 6–4, 7–5'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1996'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Lindsay Davenport United States Mary Joe Fernández'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Gigi Fernández Belarus Natalia Zvereva'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–2, 6–1'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1997'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Gigi Fernández Belarus Natalia Zvereva'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Mary Joe Fernández United States Lisa Raymond'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–2, 6–3'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1998'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Switzerland Martina Hingis Czech Republic Jana Novotná'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Lindsay Davenport Belarus Natalia Zvereva'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–1, 7–6(7–4)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1999'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Serena Williams United States Venus Williams'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Switzerland Martina Hingis Russia Anna Kournikova'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–3, 6–7(2–7), 8–6'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Switzerland Martina Hingis France Mary Pierce'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Spain Virginia Ruano Pascual Argentina Paola Suárez'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–2, 6–4'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2001'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Spain Virginia Ruano Pascual Argentina Paola Suárez'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Federal Republic of Yugoslavia Jelena Dokic Spain Conchita Martínez'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–2, 6–1'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2002'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Spain Virginia Ruano Pascual Argentina Paola Suárez'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Lisa Raymond Australia Rennae Stubbs'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–4, 6–2'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2003'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Belgium Kim Clijsters Japan Ai Sugiyama'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Spain Virginia Ruano Pascual Argentina Paola Suárez'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–7(5–7), 6–2, 9–7'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2004'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Spain Virginia Ruano Pascual Argentina Paola Suárez'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Russia Svetlana Kuznetsova Russia Elena Likhovtseva'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–0, 6–3'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2005'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Spain Virginia Ruano Pascual Argentina Paola Suárez'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Zimbabwe Cara Black South Africa Liezel Huber'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4–6, 6–3, 6–3'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2006'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Lisa Raymond Australia Samantha Stosur'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Slovakia Daniela Hantuchová Japan Ai Sugiyama'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–3, 6–2'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2007'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Australia Alicia Molik Italy Mara Santangelo'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Slovenia Katarina Srebotnik Japan Ai Sugiyama'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7–6(7–5), 6–4'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2008'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Spain Anabel Medina Garrigues Spain Virginia Ruano Pascual'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Australia Casey Dellacqua Italy Francesca Schiavone'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2–6, 7–5, 6–4'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Spain Anabel Medina Garrigues Spain Virginia Ruano Pascual'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Belarus Victoria Azarenka Russia Elena Vesnina'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–1, 6–1'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2010'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Serena Williams United States Venus Williams'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Czech Republic Květa Peschke Slovenia Katarina Srebotnik'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–2, 6–3'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2011'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Czech Republic Andrea Hlaváčková Czech Republic Lucie Hradecká'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'India Sania Mirza Russia Elena Vesnina'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–4, 6–3'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Italy Sara Errani Italy Roberta Vinci'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Russia Maria Kirilenko Russia Nadia Petrova'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4–6, 6–4, 6–2'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2013'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Russia Ekaterina Makarova Russia Elena Vesnina'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Italy Sara Errani Italy Roberta Vinci'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7–5, 6–2'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Chinese Taipei Hsieh Su-wei China Peng Shuai'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Italy Sara Errani Italy Roberta Vinci'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–4, 6–1'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Bethanie Mattek-Sands Czech Republic Lucie Šafářová'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Australia Casey Dellacqua Kazakhstan Yaroslava Shvedova'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3–6, 6–4, 6–2'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France Caroline Garcia France Kristina Mladenovic'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Russia Ekaterina Makarova Russia Elena Vesnina'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–3, 2–6, 6–4'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Bethanie Mattek-Sands Czech Republic Lucie Šafářová'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Australia Ashleigh Barty Australia Casey Dellacqua'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–2, 6–1'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Czech Republic Barbora Krejčíková Czech Republic Kateřina Siniaková'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Japan Eri Hozumi Japan Makoto Ninomiya'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–3, 6–3'}"
