"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Date'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Name'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Notes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1871'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Helmuth Karl Bernhard, Graf von Moltke (1800–1891)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Prussian General ""Services for the reborn and united German Fatherland""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1886'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gustav Christian Schwabe (1813–1897)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Merchant in London ""Gift of 128 paintings to the Kunsthalle""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1889'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Johannes Brahms (1833–1897)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Composer, the only Hamburg resident before 1948 ""Through the outstanding works brought honor and glory to his native town""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1901'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Alfred Graf von Waldersee (1832–1904)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Prussian field marshal ""Activity in maintaining world peace.""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1917'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Paul von Hindenburg (1847–1934)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Prussian field marshal ""Grateful reverence of the victorious and glorious commander.""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1948'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Henry Everling (1873–1960)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Senator of Hamburg ""Contributions to the common good (consumer cooperatives).""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1950'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Adolph Schönfelder (1875–1966)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'President of the Hamburg Parliament and First Mayor of Hamburg ""Contributions to the common good and constructive cooperation between the ruling majority and opposition.""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1960'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Max Brauer (1887–1973)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First Mayor of Hamburg ""Contributions to the common good.""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1971'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Herbert Weichmann (1896–1983)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First Mayor of Hamburg ""Contributions to the common good.""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1978'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Herbert Dau (1911–2000)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'President of the Hamburg Parliament ""Contributions to the common good.""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1983'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Helmut Schmidt (1918–2015)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'German chancellor ""For his statesmanship and great contributions to the common good of Hamburg.""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1985'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ida Ehre (1900–1989)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Actress and director ""Outstanding contributions to the intellectual and cultural reconstruction of our country and the city of Hamburg.""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1986'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Herbert Wehner (1906–1990)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Member of the Bundestag ""Has made a contribution to the reconstruction of our country and our city of Hamburg.""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1986'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gerd Bucerius (1906–1996)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Politician, journalist, and employer ""Has shaped the history of media and great contribution to our country and our city of Hamburg.""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1991'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kurt A. Körber (1909–1992)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Employer and founder ""Outstanding contribution to the Federal Republic of Germany, the reconstruction of Hamburg and the promotion of science and culture.""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1991'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Alfred Toepfer (1894–1993)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Merchant and founder ""Outstanding contribution to the Federal Republic of Germany, the reconstruction of Hamburg and the promotion of science and culture.""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1993'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rudolf Augstein (1923–2002)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Publisher and journalist ""Outstanding contribution to Hamburg as the media capital of Germany.""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1999'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Marion Gräfin Dönhoff (1909–2002)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Publisher and publicist ""Extraordinary contributions to freedom, justice and human rights.""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2001'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Siegfried Lenz (1925–2014)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Writer ""Has contributed with his literary work for the renewal and recognition of Germany in the spirit of humanism.""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2003'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Uwe Seeler (1936– )'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The first sports person receiving the honorary citizenship.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2005'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hannelore and Helmut Greve'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Major figures in construction sector; also patrons and sponsors of cultural establishments.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2007'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'John Neumeier'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The first artist to receive the honorary citizenship and the first foreign born.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Loki Schmidt (1919–2010)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Contributions to preservation of endangered plants.'}"
