"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Date time, TV'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Rank#'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Opponent#'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Result'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Record'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Site (attendance) city, state'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'February 11, 2009 7:00 pm, ESPN'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 23'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 1 Connecticut Rivalry'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'L 63–49'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18–7 (6–6)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Harry A. Gampel Pavilion (10,167) Storrs, Connecticut'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'February 14, 2009 12:00 pm, ESPN'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 23'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Georgetown'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'W 98–94 OT'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19–7 (7–6)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Carrier Dome (31,841) Syracuse, New York'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'February 22, 2009 1:00 pm, CBS'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 24'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 12 Villanova'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'L 89–86'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19–8 (7–7)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Carrier Dome (26,879) Syracuse, New York'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'February 24, 2009 7:30 pm, Big East Network'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""St. John's""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'W 87–58'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20–8 (8–7)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Madison Square Garden (11,148) New York City'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 1, 2009 2:00 pm, Big East Network'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Cincinnati'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'W 87–63'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '21–8 (9–7)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Carrier Dome (25,139) Syracuse, New York'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 3, 2009 9:00 pm, ESPNU'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 25'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rutgers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'W 70–40'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '22–8 (10–7)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Carrier Dome (21,233) Syracuse, New York'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 7, 2009 2:00 pm, Big East Network'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 25'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 13 Marquette'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'W 86–79 OT'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '23–8 (11–7)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bradley Center (19,144) Milwaukee'}"
"{'column_span': 9, 'is_header': True, 'row_span': 1, 'value': 'Big East Tournament'}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 11, 2009 9:30 pm, ESPN'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 18'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'vs. Seton Hall Second Round'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'W 89–74'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '24–8'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Madison Square Garden (19,375) New York'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 12, 2009 9:30 pm, ESPN'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 18'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'vs. No. 4 Connecticut Quarterfinals/Rivalry'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'W 127–117 6OT'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '25–8'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Madison Square Garden (19,375) New York'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 13, 2009 9:30 pm, ESPN'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 18'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'vs. West Virginia Semifinals'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'W 74–69 OT'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '26–8'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Madison Square Garden (19,375) New York'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 14, 2009 9:00 pm, ESPN'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 18'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'vs. No. 5 Louisville Finals'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'L 76–66'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '26–9'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Madison Square Garden (19,375) New York'}"
"{'column_span': 9, 'is_header': True, 'row_span': 1, 'value': 'NCAA Tournament†'}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 20, 2009* 12:15 pm, CBS'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 3-S'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'vs. No. 14-S Stephen F. Austin First Round'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'W 59–44'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '27–9'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'American Airlines Arena (10,163) Miami'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 22, 2009* 12:10 pm, CBS'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 3-S'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'vs. No. 6-S Arizona State Second Round'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'W 78–67'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '28–9'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'American Airlines Arena (10,204) Miami'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 27, 2009* 7:30 pm, CBS'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 3-S'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'vs. No. 2-S Oklahoma Regional semifinals'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'L 84–71'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '28–10'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'FedExForum Memphis, Tennessee'}"
"{'column_span': 12, 'is_header': False, 'row_span': 1, 'value': '*Non-conference game. #Rankings from AP poll.'}",,,,,
