"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'No. overall'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'No. in season'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Title'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Supervising direction by'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Written and storyboarded by'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Original air date'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Prod. code'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'US viewers (millions)'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '162'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Breezy""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Andres Salaff'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Derek Ballard & Jesse Moynihan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'June 5, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1025-165'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2.27'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': 'Warned by Doctor Princess that his flower-arm will die if he does not begin to feel again, Finn decides to try and kiss as many Princesses in order to regain his sense of emotion and excitement.'}",,,,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '163'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Food Chain""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Masaaki Yuasa'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Masaaki Yuasa'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'June 12, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1025-161'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1.97'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': ""Finn and Jake visit the Candy Kingdom's Museum of Natural History and learn about the food chain after being turned into its different parts—small birds, big birds, bacteria, plants, and finally caterpillars—by Magic Man (voiced by Kenny).""}",,,,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '164'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Furniture & Meat""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Elizabeth Ito'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Andy Ristaino & Cole Sanchez'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'June 19, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1025-171'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1.86'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': ""BMO, concerned that Finn and Jake's massive hoard of gold is threatening the structural integrity of their treehouse, talks Finn into spending the money at an expensive resort at Wildberry Kingdom.""}",,,,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '165'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""The Prince Who Wanted Everything""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Adam Muto'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Adam Muto, Kent Osborne, Emily Partridge & Bert Youn'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'June 26, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1025-167'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2.48'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': 'Lumpy Space Princess kidnaps and ties up Ice King, forcing him to read her own fan-fiction of Fionna and Cake about ""the beautiful and sensitive"" Lumpy Space Prince (voiced by Peter Serafinowicz), who leaves Lumpy Space and seeks refuge in the Land of Ooo.'}",,,,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '166'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Something Big""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Andres Salaff'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jesse Moynihan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 3, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1025-170'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1.95'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': 'Maja the Sky Witch summons Daren, The Ancient Sleeper (voiced by Alan Oppenheimer) and orders him to attack the Candy Kingdom so that she may use the sentimental affection and caring of its citizens as fuel for her powers.'}",,,,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '167'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '11'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Little Brother""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Elizabeth Ito'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Madéleine Flores & Adam Muto'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 10, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1025-172'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2.10'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': ""While throwing a party in Jake's Viola, Shelby (voiced by Ward) accidentally cuts his lower half off, which becomes sentient. Shelby names his new brother Kent (voiced by Thurop Van Orman), and seeks Jake's help in order to be a good sibling.""}",,,,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '168'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Ocarina""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Andres Salaff'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tom Herpich & Steve Wolfhard'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 17, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1025-173'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1.86'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': ""After Finn and Jake arrive to the birthday party of Jake's children 3 hours late, Jake begins to irritate his business-savvy son Kim Kil Whan (voiced by Marc Evan Jackson) with his childish antics.""}",,,,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '169'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '13'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Thanks for the Crabapples, Giuseppe!""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Elizabeth Ito'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Seo Kim & Somvilay Xayaphone'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 24, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1025-174'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2.18'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': 'Ice King, Abracadaniel (voiced by Steve Little), Little Dude (voiced by Sanchez), the Life-Giving Magus (voiced by Dana Snyder), Ron James (voiced by Duncan Trussell), female water sprites (voiced by Walch and Grey DeLisle), and several other wizards go on a road trip in a bus to forge their own school of magic.'}",,,,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '170'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '14'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Princess Day""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Elizabeth Ito'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Seo Kim & Somvilay Xayaphone'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 31, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1025-169'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1.91'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': ""During the annual Princess Day meeting held in Breakfast Kingdom, Lumpy Space Princess clashes with Breakfast Princess over the year's events.""}",,,,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '171'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '15'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Nemesis""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Andres Salaff'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Derek Ballard & Jesse Moynihan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'August 7, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1025-175'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1.90'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': ""During the meeting of Starchy's Veritas Brigade, a man calling himself Peace Master (voiced by Rainn Wilson) appears and claims that there is a terrible evil trying to consume the Candy Kingdom.""}",,,,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '172'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Joshua & Margaret Investigations""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Elizabeth Ito'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Andy Ristaino & Cole Sanchez'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'August 14, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1025-176'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2.05'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': ""During Jake's birthday party, Jake tells Finn and BMO a story about how his parents Joshua (voiced by Kent Osborne) and Margaret (voiced by Maria Bamford) hunted down a dangerous menace in the woods of Ooo before Jake was born.""}",,,,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '173'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '17'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Ghost Fly""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Cole Sanchez'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Graham Falk & Cole Sanchez'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'October 28, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1025-181'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1.30'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': 'During a dark and stormy night, Jake kills a fly that eats some of his soup. In retaliation, the vengeful soul of the fly haunts the tree house.'}",,,,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '174'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Everything\'s Jake""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Cole Sanchez'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Seo Kim & Somvilay Xayaphone'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 24, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1025-184'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1.59'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': ""After meddling courtesy of Magic Man, Jake finds himself transported inside of himself, wherein an entire civilization exists, made entirely out of Jake's flesh.""}",,,,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '175'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Is That You?""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Andres Salaff'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jesse Moynihan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 25, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1025-182'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1.76'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': ""Following a memorial service for Prismo, Jake begins acting strangely. Finn soon realizes that the real Jake has been transported into Prismo's alternate dimension.""}",,,,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '176'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Jake the Brick""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kent Osborne'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kent Osborne'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 26, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1025-177'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2.00'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': 'Jake attempts to fulfill an aspiration of his: to be a brick inside a shack as it collapses. Finn, being supportive, leaves a walkie talkie with Jake, who absentmindedly begins to narrate the events around him.'}",,,,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '177'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '21'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Dentist""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Andres Salaff'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tom Herpich & Steve Wolfhard'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 28, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1025-188'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1.40'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': ""When Finn's toothache gets too much to take, he has no choice but to visit the ants, led by General Tarsal (voiced by Lucy Lawless), who provide dental care in exchange for a tour of duty.""}",,,,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '178'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '22'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""The Cooler""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Cole Sanchez'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Andy Ristaino & Cole Sanchez'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'December 4, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1025-186'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1.84'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': 'After a natural disaster hits the Fire Kingdom, Flame Princess (voiced by Jessica DiCicco) is forced to team up with Princess Bubblegum.'}",,,,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '179'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '23'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""The Pajama War""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Cole Sanchez'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Seo Kim & Somvilay Xayaphone'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'January 8, 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1025-189'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2.04'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': 'At a slumber party at the Candy Kingdom, Princess Bubblegum and Finn are forced into a closet to play a variation of seven minutes in heaven; the two leave the party to hang out and go on a walk.'}",,,,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '180'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '24'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Evergreen""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Andres Salaff'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tom Herpich & Steve Wolfhard'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'January 15, 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1025-178'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1.75'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': 'Millions of years before the start of the series, a mutated dinosaur by the name of Gunter (voiced by Pamela Adlon) and the ice elemental Urgence Evergreen (voiced by Kenny) try to save the planet from a comet by constructing a magical crown that will grants its wearer their one true wish.'}",,,,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '181'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '25'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Astral Plane""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Andres Salaff'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jesse Moynihan & Jillian Tamaki'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'January 22, 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1025-180'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1.86'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': 'While camping with Jake, Finn begins astral projecting, which takes him on a journey across Ooo. After viewing Mr.'}",,,,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '182'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '26'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Gold Stars""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Elizabeth Ito'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Seo Kim & Somvilay Xayaphone'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'January 29, 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1025-179'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1.85'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': ""Tree Trunks and Mr. Pig's child, Sweet P (voiced by Ethan Maher), is bullied at school.""}",,,,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '183'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '27'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""The Visitor""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Andres Salaff'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tom Herpich & Steve Wolfhard'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'February 5, 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1025-183'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1.71'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': 'After sleepwalking, Finn is led to both a friendly civilization, and to the mysterious location of a downed spaceship. In the area, Finn stumbles upon his father, Martin, and attempts to bond with him.'}",,,,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '184'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '28'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""The Mountain""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Andres Salaff'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sam Alden & Jesse Moynihan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'February 12, 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1025-187'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1.67'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': 'Lemongrab and Finn go on an expedition through the Mountain of Matthew to learn more about themselves. After being presented with three mirrors that show the viewer two false realities and one true reality, both Finn and Lemongrab both chose correctly and soon come into contact with the being Matthew (voiced by Jim Cummings), who meets his demise thanks to the antics of Lemongrab.'}",,,,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '185'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '29'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Dark Purple""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Adam Muto'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sloane Leong & Adam Muto'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'February 19, 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1025-185'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2.15'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': 'Susan Strong (voiced by Jackie Buscarino) and her Hyooman associates break into the pre-war Super Porp soda factory in order to save a baby that was kidnapped by one of its delivery drones.'}",,,,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '186'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '30'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""The Diary""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Cole Sanchez'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jillian Tamaki'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'February 26, 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1025-190'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1.91'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': ""Jake's son T.V. (voiced by Dan Mintz) finds an old diary, which revives a decades-old mystery surrounding the writer of the book.""}",,,,,,,
