"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'University'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'French Name'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Academy'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Valenciennes and Hainaut-Cambresis'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de Valenciennes et du Hainaut-Cambrésis'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lille'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Limoges'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de Limoges'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Limoges'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jean Moulin University Lyon 3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université Jean Moulin – Lyon 3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lyon'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lumière University Lyon 2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université Lumière – Lyon 2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lyon'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jean Monnet University'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université Jean Monnet'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lyon'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Claude Bernard University Lyon 1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université Claude Bernard – Lyon 1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lyon'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Nîmes'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de Nîmes'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Montpellier'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Perpignan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de Perpignan – Via Domitia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Montpellier'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Montpellier'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de Montpellier'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Montpellier'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Paul Valéry University, Montpellier III'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université Montpellier 3 – Paul-Valéry'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Montpellier'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Angers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Université d'Angers""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nantes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Nantes'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de Nantes'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nantes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Maine (France)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université du Maine'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nantes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Toulon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de Toulon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nice'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Nice Sophia Antipolis'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université Nice – Sophia-Antipolis'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nice'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of New Caledonia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de la Nouvelle-Calédonie'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nouvelle-Calédonie'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Orléans'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Université d'Orléans""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Orléans-Tours'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'François Rabelais University'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université François-Rabelais'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Orléans-Tours'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Panthéon-Assas University'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université Panthéon-Assas'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Paris'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Paris Diderot University'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université Paris Diderot'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Paris'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Paris III: Sorbonne Nouvelle'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université Sorbonne Nouvelle – Paris 3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Paris'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Paris Descartes University'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université Paris Descartes'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Paris'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pantheon-Sorbonne University'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université Paris 1 – Panthéon Sorbonne'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Paris'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sorbonne University'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sorbonne Université'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Paris'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of La Rochelle'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de La Rochelle'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Poitiers'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Poitiers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de Poitiers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Poitiers'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of French Polynesia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de la Polynésie Française'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Polynésie Française'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Reims Champagne-Ardenne'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de Reims Champagne-Ardenne'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Reims'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Rennes 1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de Rennes 1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rennes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Western Brittany'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de Bretagne Occidentale'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rennes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Southern Brittany'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de Bretagne-Sud'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rennes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Rennes 2 – Upper Brittany'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université Rennes 2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rennes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Le Havre'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université du Havre'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rouen'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Rouen'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de Rouen'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rouen'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Upper Alsace'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de Haute-Alsace'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Strasbourg'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Strasbourg'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de Strasbourg'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Strasbourg'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Paul Sabatier University'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de Toulouse 3 – Paul Sabatier'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Toulouse'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Toulouse II – Le Mirail'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université Toulouse – Jean Jaurès'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Toulouse'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Toulouse 1 University Capitole'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université Toulouse 1 – Capitole'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Toulouse'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Versailles Saint-Quentin-en-Yvelines University'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de Versailles Saint-Quentin-en-Yvelines'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Versailles'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Paris-Sud'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université Paris-Sud'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Versailles'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Paris Nanterre University'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université Paris Nanterre'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Versailles'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Cergy-Pontoise University'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de Cergy-Pontoise'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Versailles'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""University of Évry Val d'Essonne""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Université d'Évry-Val d'Essonne""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Versailles'}"
