"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Image'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Dates'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Name'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'DOD/Fate'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '21 December 1794 – 6 January 1795'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pierre-Louis Bentabole'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1797'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Charles-Louis François Letourneur--Jean-Baptiste-François Désoria IMG 2312.JPG'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6 January 1795 – 20 January 1795'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Étienne-François Le Tourneur'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4 October 1817'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'AduC 112 Rovère (J.S., 1744-1798).JPG'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20 January 1795 – 4 February 1795'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Stanislas Joseph François Xavier Rovère'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'died in 1798 in French Guiana'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4 February 1795 – 19 February 1795'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Paul Barras'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '29 January 1829'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'AduC 053 Bourdon (F.L.,1758-1797).JPG'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 February 1795 – 6 March 1795'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'François Louis Bourdon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '22 June 1798, after being deported to French Guiana'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'AduC 149 Thibaudeau (A.C., 1765-1854).JPG'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6 March 1795 – 24 March 1795'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Antoine Claire Thibaudeau'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8 March 1854'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '24 March 1795 – 5 April 1795'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jean Pelet, also Pelet de la Lozère'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '26 January 1842'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5 April 1795 – 20 April 1795'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""François-Antoine de Boissy d'Anglas""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1828 One of the few members of La Marais to be elected President'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20 April 1795 – 5 May 1795'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Emmanuel Joseph Sieyès'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20 June 1836 One of the few members of La Marais to be elected President'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5 May 1795 – 26 May 1795'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Théodore Vernier'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '26 May 1795 – 4 June 1795'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jean-Baptiste Charles Matthieu'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4 June 1795 – 19 June 1795'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jean Denis, comte Lanjuinais'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'died in 1828 in Paris'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 June 1795 – 4 July 1795'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jean-Baptiste Louvet de Couvray'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '25 August 1797'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4 July 1795 – 19 July 1795'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Louis-Gustave Doulcet de Pontécoulant'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '17 November 1764 – 3 April 1853'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 July 1795 – 3 August 1795'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Louis-Marie de La Révellière-Lépeaux'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '24 March 1824'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'AduC 258 Daunou (P.C.F., 1761-1840).JPG'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3 August 1795 – 19 August 1795'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pierre Claude François Daunou'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20 June 1840'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 August 1795 – 2 September 1795'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Marie-Joseph Chénier'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10 January 1811'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2 September 1795 – 23 September 1795'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Théophile Berlier'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12 September 1844'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '23 September 1795 – 8 October 1795'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pierre-Charles-Louis Baudin'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1799'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8 October 1795 – 26 October 1795'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jean Joseph Victor Génissieu'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '27 October 1804'}"
