"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Name'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Reign'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Notes'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Otumfuo Nana Osei Yaw Akoto'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1824–21 February 1834'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Otumfuo Nana Kwaku Dua I'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '25 August 1834 – 27 April 1867'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Otumfuo Nana Kofi Karikari'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '28 May 1867 – 26 October 1874'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Forced to abdicate.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 4, 'is_header': False, 'row_span': 1, 'value': 'Regent 1874 Kwabena Dwomo, the mamponghene'}",,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Otumfuo Nana Mensa Bonsu'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1874–8 March 1883'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Forced to abdicate.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Otumfuo Nana Kwaku Dua II'""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '28 April 1884–11 June 1884'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Died after short illness.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 4, 'is_header': False, 'row_span': 1, 'value': 'Asante Civil War 1883-1888'}",,,
"{'column_span': 4, 'is_header': False, 'row_span': 1, 'value': 'Interim Council 1884-1887. Chairman Owusu Kofi 11 June 1884 to November 1884. Chairman Akyampon Panyin November 1884 to 1887.'}",,,
"{'column_span': 4, 'is_header': False, 'row_span': 1, 'value': 'Regent 1887 to 26 March 1888 Owusu Sekyere II, the mamponghene'}",,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Otumfuo Nana Prempeh I'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '26 March 1888 – 12 May 1931'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Original throne name was Kwaku Dua III Asamu. Arrested by the British 1896.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'King Asantehene Prempeh I of Ashanti Empire'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Otumfuo Nana Osei Tutu Agyeman Prempeh II'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '22 June 1931–27 May 1970'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Using title kumasehene at first, asantehene 31 January 1935.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'King Asantehene Prempeh II of Asanteman'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Otumfuo Nana Opoku Ware II'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6 July 1970 – 26 February 1999'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ruled as Ashanti King or Asantehene'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'King Asantehene Opoku Ware II of Asanteman'}"
"{'column_span': 4, 'is_header': False, 'row_span': 1, 'value': 'Regent 26 February 1999 to 26 April 1999 Osei Bonsu II, the mamponghene'}",,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Otumfuo Nana Osei Tutu II'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '26 April 1999–present'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'current Asantehene'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'King Asantehene Osei Tutu II of Asanteman'}"
