"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Current, official name'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Former, English name(s)'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Note'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Ceylon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ceylon Lane (1960)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'A hill road named after the former name of Sri Lanka.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Bukit Ceylon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ceylon Hill (1960)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'A hill road branching from Jalan Ceylon, named after the hill which it is located in (the hill, in turn, takes its name from the former name of Sri Lanka).'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Cenderawasih'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Spooner Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Formerly named after Ernest John Spooner or Charles Edwin Spooner the State Engineer of Selangor and Director of Public Works Department.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Chan Sow Lin'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Named after Chan Sow Lin (1845–1927), pioneer in iron works, the founder of Chan Sow Lin & Co. Ltd., first local established engineering consultant, the first person to have imported advance tin dredging machinery from the Europe to be used for mining in Malaya.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Chan Wing'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Located at Imbi. Named after Chan Wing, a Chinese immigrant or a millionaire who built the mansion which was now as former Istana Negara at Jalan Istana.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Choo Cheeng Kay'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Named after Choo Cheeng Khay, a wealthy tin-miner and property developer.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Conlay'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Conlay Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Named after the British Agent of Terengganu, William Lance Conlay, (1909–1913).'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Jalan Dato' Onn""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Brockman Road, Residency Road (1960)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First named after the British Chief Secretary to the Federated Malay States (1911–1920), announced the establishment of the Town Planning Committee to oversee Kuala Lumpur town planning service.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Datuk Sulaiman'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Located at Taman Tun Dr Ismail'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Dewan Sultan Sulaiman'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Stony Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Davis'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Davis Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Named after Richard Pritchard Davis, former Government Town Planner of FMS.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Doraisamy'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Doktor Latif'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Located at Kuala Lumpur Hospital.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Eaton'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Eaton Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Faraday'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Faraday Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'It is located at Tenaga Nasional Berhad (TNB) Headquarters near Jalan Pantai Baharu'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Foss'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Foss Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Located at Pudu. Named after Josephine Foss, former headmistress of Pudu Girls' School.""}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Gallagher'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gallagher Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Galloway'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Galloway Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Gereja'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Church Street (1960)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Named after the a local St. John's Cathedral.""}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Haji Yahya Sheikh Ahmad'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Watson Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Named after the British Resident of Perak, Sir Reginald George Watson'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Istana'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Taylor Road (1960)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Named after the Sir W.T. Taylor, Resident General of the Federated Malay States.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Kampung Attap'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kampong Attap Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Kampung Bandar Dalam'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Located between Sentul and Gombak.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Kebun Bunga'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Orchid Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Named after the Lake Gardens, where orchids were planted around the gardens.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Kia Peng'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kia Peng Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Named after Choo Kia Peng. Choo Kia Peng, a Federal Councillor.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Kinabalu (part of)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Old River Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Part of the Kuala Lumpur Inner Ring Road'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Ledang'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Guillemard Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sir Laurence Guillemard was Governor for the Straits Settlement and High Commissioner for Federated Malay States. Currently named after Mount Ledang (Mount Ophir) in Johor.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Langgak Golf'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Golf View Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Leong Yew Koh'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Located at Taman Tun Dr Ismail.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Limbang'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Main Street'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Located in Jinjang, It was erected on 2007 after the name of the Limbang Division in Sarawak.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Madge'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Madge Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Located at Taman U-Thant.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Mahkamah Persekutuan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Belanda or Holland Road (1960)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Situated behind the Sultan Abdul Samad Building, and along the Gombak River and the Klang River (after the confluence of the rivers).'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Mahkamah Tinggi'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Clarke Road (1960)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'A short road that connects Jalan Mahkamah Persekutuan with Jalan Raja Laut, passing between the south side of the Sultan Abdul Samad Building, and the Old Post Office/former Court of Appeal building and Industrial Court.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Melayu'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Malay Street (1960)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'A street connecting Jalan Tuanku Abdul Rahman and Jalan Tun Perak via a route passing the Klang River. The road was recently refurbished with the addition of canopy roofs and new street furnitures added along the road, in conjunction with the remodeling of the south end of Jalan Masjid India as a pedestrian street.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Munshi Abdullah'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Pasar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Peel'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Peel Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Named after Sir William Peel (1875–1945), British Chief Secretary of the Federated Malay States and Governor of Hong Kong.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Perdana'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Venning Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Named after Alfred R. Venning, the first Chairman of Sanitary Board, who proposed to establish a Public Gardens in 1888, which was later renamed as Lake Gardens, and the first golf course near Damansara Road.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Pudu Lama'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Old Pudu Road (1960)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'A back road connecting to Jalan Pudu, which passes through pre-war residential houses.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Punchak'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Peak Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Punchak (Puncak) is literally translated from Malay as peak.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Raja'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Raja Road (west stretch) (1960), Gombak Road (circa 1880s and 1890s).'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Notably passes the Sultan Abdul Samad Building and similar structures in the vicinity. As of 1960, the road initially terminated at a T junction with Mounbatten Road and Batu Road in the north and the Jalan Raja-Market Street-Victory Avenue crossroad in the south.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Raja Abdullah'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hale Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Named after Sultan Abdul Samad's father Raja Abdullah. Previously named after former Larut District Officer, A. Hale.""}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Raja Alang'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Perkins Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Named after Selangor's royal family member, Raja Alang. Previously named after C.J Perkins, Deputy Surveyor-General of the FMS and Straits Settlements""}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Raja Bot'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Named after Selangor's royal family member, Raja Bot.""}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Raja Muda Abdul Aziz'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Princes Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Currently named after Raja Muda Abdul Aziz (Sultan Salahuddin Abdul Aziz Shah) of Selangor'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Raja Muda Musa'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Named after Raja Muda Musa (Sultan Musa Ghiatuddin Riayat Shah) of Selangor'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Rakyat'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Travers Road (until 2015) (Damansara Road)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'It was erected on 2015 after the nearest Bank Rakyat headquarters in KL Sentral. Formerly named after Dr.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Ritchie'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ritchie Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Located between Jalan Ampang and Jalan Ampang Hilir.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Robson'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Robson Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Named after founder editor John Henry Matthew Robson of The Malay Mail newspaper, the first daily newspaper published in the Federated Malay States, 1896.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Robertson'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Robertson Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Scott'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Scott Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Samarahan 1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'River Road North'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Located in Jinjang, it was paved in 2007 and named after the Samarahan Division in Sarawak.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Samarahan 2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ulu Klang Street'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Located in Jinjang, it was paved in 2007 and named after the Samarahan Division in Sarawak.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Samarahan 6'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Cheras Street'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Located in Jinjang, it was paved in 2007 and named after the Samarahan Division in Sarawak.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Semarang'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Broadrick Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Named after the British Resident of Selangor, Edward George Broadrick, (1913–1919).'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Sentul'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sentul Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Serian 1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tanjung Malim Street'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Located in Jinjang, it was paved in on 2007 and named after the Serian town in Sarawak.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Sin Chee'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Sin Chew Kee'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Sri Amar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Sultan Abdul Samad'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Sultan Haji Ahmad Shah'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Khidmat Usaha (until 2014)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Erected on 2014 and was named after seventh Yang di-Pertuan Agong, Sultan Ahmad Shah of Pahang.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Stadium'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Stadium Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Built in 1957 and named after the Merdeka Stadium'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Changkat Stadium'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Stadium Ghaut'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Built in 1957 and named after the Merdeka Stadium'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Shelley'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Shelley Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Located near Jalan Cochrane'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Stonor'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Stonor Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Named after the British Resident of Selangor, Oswald Francis Gerard Stonor, (1921–1926) and Resident of Perak 1926 – 1927.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Sultan Azlan Shah'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Ipoh (until 2014)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Erected on 2014 and was named after eighth Yang di-Pertuan Agong, Sultan Azlan Shah of Perak.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Sultan Hishamuddin'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Victory Avenue (1960)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Named after Sultan Hishamuddin of Selangor and the second Yang Di Pertuan Agong. Terminates at the Jalan Raja Laut-Lebuh Pasar Besar-Jalan Sultan Hishamuddin crossroad in the north, and the north and of Jalan Travers from the south.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Sultan Mizan Zainal Abidin'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Khidmat Setia and Jalan Ibadah (until 2014)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Erected on 2014 and was named after thirteenth Yang di-Pertuan Agong, Sultan Mizan Zainal Abidin of Terengganu.'}"
