"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Inventor'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '# of patents'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Country'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Active'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Main fields of invention'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Ref'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Donald E. Weder'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1976-2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Florist supplies'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'George Albert Lyon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '993'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Canada'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1882(b)-1961(d)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Automotive, Stainless steel products'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jay S. Walker'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '958'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1998-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gaming machines'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""John F. O'Connor""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '949'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1864(b)-1938(d)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Railway draft gearing'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Michael J. Sullivan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '949'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1977-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Golf balls'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rick Allen Hamilton II'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '926'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1999-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Various'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Melvin De Groote'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '925'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1895(b)-1963(d)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Chemical de-emulsifiers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jordin T. Kare'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '896'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1992-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Various'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Francis H. Richards'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '894'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1850(b)-19??(d)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mechanical, automation'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ahmadreza Rofougaran'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '848'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2002-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Radio Frequency Integrated Circuits'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nathan Myhrvold'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '846'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1994-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Various'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mark Malamud'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '817'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1997-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Various'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Robert W. Lord'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '805'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2003-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Various'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Royce A. Levien'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '801'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1997-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Various'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Muriel Y. Ishikawa'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '789'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2002-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Various'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'William H. Eby'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '780'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1994-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Transgenic soybeans'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Warren Farnworth'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '772'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1990-2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Semiconductor packaging'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Salman Akram'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '757'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1995-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Semiconductor packaging'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Carleton Ellis'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '753'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1876(b)-1941(d)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Margarine, Polyester, Anti-knock gasoline, Paint stripper'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jeyhan Karaoguz'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '747'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1996-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Wireless communications, Computer networks'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hideo Ando'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '729'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Japan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1983-2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Optical recording'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'George Spector'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '722'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1976-1998'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gadgets, Toys'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Austin L. Gurney'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '714'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1999-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Proteins, Antibodies'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Elihu Thomson'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '696'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'UK'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1853(b)-1937(d)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Electric power, Arc lamp, Electric motors, Lightning arrester, Arc welder'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tetsujiro Kondo'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '695'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Japan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1987-2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Signal processing, Image processing'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ali Khakifirooz'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '695'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2011-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Integrated Circuits, CMOS, Semiconductor device fabrication'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'William I. Wood'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '653'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1981-2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Proteins, Antibodies'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Simon R. Walmsley'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '651'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Australia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1995-2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Printing, Electronics, VLSI, Cryptography'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bruce B. Doris'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '642'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1995-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Integrated Circuits, CMOS, DRAM, Semiconductor device fabrication'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Audrey D. Goddard'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '625'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1997-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Proteins, Antibodies'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'John M. Santosuosso'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '624'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2001-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Various'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Eric C. Leuthardt'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '610'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2006-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Medical devices'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Edward J. Nowak'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '609'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1979-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Semiconductor device fabrication, Semiconductor memory, Semiconductor device'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jerome Lemelson'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '606'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1923(b)-1997(d)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Toys, Industrial robots, Cordless telephones, Fax machines, Videocassette recorders'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tadahiro Ohmi'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '597'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Japan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1981-2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Thin film processes and materials, Semiconductor device fabrication'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kie Y Ahn'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '596'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1976-2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Thin film processes and materials, VLSI, Semiconductor device fabrication'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Béla Barényi'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '595'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Austria'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1907(b)-1997(d)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Passive safety in automobiles'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Paul J. Godowski'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '579'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1994-2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Proteins, Antibodies'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Artur Fischer'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '570'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Germany'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1976-2002'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Fasteners, Construction toys'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Devendra K. Sadana'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '570'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'India'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1983-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Solar cells, OLED, Integrated Circuits, CMOS, DRAM, LEDs'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Clifford A. Pickover'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '569'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1992-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Various'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Louis L. Hsu'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '551'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1988-2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Various'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Chih-Chao Yang'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '548'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2003-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Integrated Circuits'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
