"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Name'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Hull number'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Builder'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Ordered'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Laid down'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Launched'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Commissioned'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Status'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mississippi'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-782'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'General Dynamics Electric Boat, Groton'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9 June 2010'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10 December 2011'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2 June 2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Active in service'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Minnesota'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-783'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Huntington Ingalls Industries, Newport News'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20 May 2011'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10 November 2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7 September 2013'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Active in service'}",
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': 'Block III'}",,,,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'North Dakota'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-784'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'General Dynamics Electric Boat, Groton'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '14 August 2003'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '11 May 2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '15 September 2013'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '25 October 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Active in service'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'John Warner'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-785'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Huntington Ingalls Industries, Newport News'}","{'column_span': 1, 'is_header': False, 'row_span': 7, 'value': '22 December 2008'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16 March 2013'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10 September 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1 August 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Active in service'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Illinois'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-786'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'General Dynamics Electric Boat, Groton'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2 June 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8 August 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '29 October 2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Active in service'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Washington'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-787'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Huntington Ingalls Industries, Newport News'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '22 November 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '25 March 2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7 October 2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Active in service'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Colorado'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-788'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'General Dynamics Electric Boat, Groton'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7 March 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '29 December 2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '17 March 2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Active in service'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Indiana'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-789'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Huntington Ingalls Industries, Newport News'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16 May 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9 June 2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '29 September 2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Active in service'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South Dakota'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-790'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'General Dynamics Electric Boat, Groton'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4 April 2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '14 October 2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2 February 2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Active in service'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Delaware'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-791'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Huntington Ingalls Industries, Newport News'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '30 April 2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '17 December 2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Launched'}",
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': 'Block IV'}",,,,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Vermont'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-792'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'General Dynamics Electric Boat, Groton'}","{'column_span': 1, 'is_header': False, 'row_span': 10, 'value': '28 April 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Under construction'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Oregon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-793'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8 July 2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Under construction'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Montana'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-794'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Huntington Ingalls Industries, Newport News'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16 May 2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Under construction'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hyman G. Rickover'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-795'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'General Dynamics Electric Boat, Groton'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '11 May 2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Under construction'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'New Jersey'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-796'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Huntington Ingalls Industries, Newport News'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '25 March 2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Under construction'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Iowa'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-797'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'General Dynamics Electric Boat, Groton'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Under construction'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Massachusetts'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-798'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Huntington Ingalls Industries, Newport News'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Under construction'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Idaho'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-799'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'General Dynamics Electric Boat, Groton'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Under construction'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Arkansas'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-800'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Huntington Ingalls Industries, Newport News'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'On order'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Utah'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-801'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'General Dynamics Electric Boat, Groton'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'On order'}",
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': 'Block V'}",,,,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Unnamed'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-802'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Electric Boat (long-lead materials only) Full build contact: TBA'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '16 February 2017 (long-lead material only)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Unnamed'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-803'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Unnamed'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-804'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Unnamed'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-805'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Unnamed'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-806'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Unnamed'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-807'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Unnamed'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-808'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Unnamed'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-809'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Unnamed'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-810'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Unnamed'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-811'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
