"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Country'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Division'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Anti-corruption Agency'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hong Kong'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Independent Commission Against Corruption (Hong Kong)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Macau'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Commission Against Corruption (Macau)'}"
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Egypt'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Administrative Control Authority'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Ethiopia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Federal Ethics and Anti-Corruption Commission (Ethiopia)'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'European Union'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'European Anti-Fraud Office (OLAF)'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Agence française anticorruption [fr]'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'India'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Central Vigilance Commission'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Indonesia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Corruption Eradication Commission'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Iraq'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Iraq Anti Corruption'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Jamaica'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Major Organised Crime and Anti-Corruption Agency National Integrity Action'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Kenya'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ethics and Anti-Corruption Commission'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Latvia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Corruption Prevention and Combating Bureau'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Liberia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Anti-Corruption Commission (Liberia)'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Lithuania'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Special Investigation Service (Lithuania)'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Madagascar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bureau Indépendant Anti-corruption'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Malaysia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Anti-Corruption Commission (Malaysia)'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Mauritius'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Independent Commission Against Corruption (Mauritius)'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Namibia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Anti-Corruption Commission (Namibia)'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Nepal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Commission for the Investigation of Abuse of Authority'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'New Zealand'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Serious Fraud Office (New Zealand)'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Nigeria'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Independent Corrupt Practices Commission'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Pakistan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Accountability Bureau'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Papua New Guinea'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Investigation Task Force Sweep'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Poland'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Central Anticorruption Bureau'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Romania'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Anticorruption Directorate, Direcția Generală Anticorupție'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Russia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Investigative Committee of Russia'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Saudi Arabia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Anti-Corruption Commission'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Serbia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Anti-Corruption Agency'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Sierra Leone'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Anti-corruption Commission (Sierra Leone)'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Singapore'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Corrupt Practices Investigation Bureau'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Slovenia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Commission for the Prevention of Corruption of the Republic of Slovenia'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Republic of China'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Agency Against Corruption'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'South Africa'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Anti-Corruption Forum'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'South Korea'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Anti-Corruption and Civil Rights Commission Korea Independent Commission Against Corruption (defunct)'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Spain'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Servicio de Vigilancia Aduanera'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Ukraine'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Anti-Corruption Bureau'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'United Kingdom'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'England England Wales Wales Northern Ireland Northern Ireland'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Serious Fraud Office (United Kingdom)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Turks and Caicos Islands'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Integrity Commission'}"
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Vietnam'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Central Steering Committee on Anti-corruption (Viet Nam)'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Zimbabwe'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Anti-Corruption Commission (Zimbabwe)'}",
