"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'District'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Vacator'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Reason for Vacancy'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Successor'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Texas 3rd'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gordon J. Russell (D)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Resigned June 14, 1910, after being appointed judge for the United States District Court for the Eastern District of Texas'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Robert M. Lively (D)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 23, 1910'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tennessee 1st'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Walter P. Brownlow (R)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Died July 8, 1910'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Zachary D. Massey (R)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 8, 1910'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Louisiana 2nd'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Samuel L. Gilmore (D)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Died July 18, 1910'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'H. Garland Dupré (D)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 8, 1910'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Massachusetts 4th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Charles Q. Tirrell (R)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Died July 31, 1910'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'John J. Mitchell (D)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 8, 1910'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pennsylvania 5th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'William W. Foulkrod (R)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Died November 13, 1910'}","{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Seat remained vacant until next Congress'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pennsylvania 2nd'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Joel Cook (R)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Died December 15, 1910'}","{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Seat remained vacant until next Congress'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Massachusetts 14th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Eugene Foss (D)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Resigned January 4, 1911, after being elected Governor of Massachusetts'}","{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Seat remained vacant until next Congress'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pennsylvania 24th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'John K. Tener (R)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Resigned January 16, 1911, after being elected Governor of Pennsylvania'}","{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Seat remained vacant until next Congress'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pennsylvania 19th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'John M. Reynolds (R)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Resigned January 17, 1911, after being elected Lieutenant Governor of Pennsylvania'}","{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Seat remained vacant until next Congress'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'North Dakota 2nd'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Asle Gronna (R)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Resigned February 11, 1911, after being elected to the U.S. Senate'}","{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Seat remained vacant until next Congress'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Maine 1st'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Amos L. Allen (R)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Died February 20, 1911'}","{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Seat remained vacant until next Congress'}",
