"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Acronym and Name'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'National coalition'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Leader or Chairman'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': ""People's Representatives""}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Political Position'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Ideology'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'AC: Centrist Alliance'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'None'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jean Arthuis'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:2 / 577Senate: 9 / 348 European Parliament: 1 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 0 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Centre'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liberalism, Pro-Europeanism, Centrism'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MRC: Citizen and Republican Movement'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'None'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jean-Luc Laurent'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:1 / 577Senate: 0 / 348 European Parliament: 0 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 0 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Left-wing'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Republicanism, Souverainism, Democratic socialism, Euroscepticism, Protectionism'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'LRC-Cap21: Citizenship, Action, Participation for the 21st Century'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'None'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Corinne Lepage'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:4 / 577Senate: 0 / 348 European Parliament: 1 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 0 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Centre to Centre-left'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Environmentalism, Green liberalism, Direct democracy, Humanism, Eurorealism'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'EELV: Europe Ecology – The Greens'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'None'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'David Cormand'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:1 / 577Senate: 10 / 348 European Parliament: 5 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 0 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Centre-left'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Green politics, Regionalism, European federalism'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'PG: Left Party'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Left Front'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Eric Coquerel and Danielle Simonnet'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:8 / 577Senate: 0 / 348 European Parliament: 1 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 0 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Left-wing'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Democratic socialism, Left-wing populism, Environmentalism, Alter-globalisation, Soft Euroscepticism'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Génération.S'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'None'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Benoît Hamon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:0 / 577Senate: 0 / 348 European Parliament: 2 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 1 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Centre-left'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ensemble!'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'None'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'None'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:2 / 577Senate: 0 / 348 European Parliament: 0 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 0 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Left-wing'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Socialism, Eco-socialism, Anti-globalisation'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'PE: Ecologist Party'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'None'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'François de Rugy'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:3 / 577Senate: 1 / 348 European Parliament: 0 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 0 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Green politics, Green liberalism, Environmentalism, Social-liberalism, European federalism'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Resistons!'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'None'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jean Lassalle'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:1 / 577Senate: 0 / 348 European Parliament: 0 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 0 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Centre'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ruralism, Humanism, Localism, Sovereignty'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Agir'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'UDI, Agir and Independents group'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:9 / 577Senate: 6 / 348 European Parliament: 1 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 0 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Centre to Centre-right'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liberalism, Social liberalism, Progressivism, Christian democracy'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Comités Jeanne'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'None'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jean-Marie Le Pen'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:0 / 577Senate: 0 / 348 European Parliament: 1 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 0 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Far-right'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nationalism Euroscepticism Souverainism'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'LFD13: La Force du 13'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'None'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jean-Noël Guérini'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:0 / 577Senate: 2 / 348 European Parliament: 0 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 0 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Left'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Social democracy'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'GC: Génération citoyens'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jean-Marie Cavada'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:0 / 577Senate: 1 / 348 European Parliament: 0 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 0 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Centre to Right-wing'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Social liberalism'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Démocratie et République'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:0 / 577Senate: 1 / 348 European Parliament: 0 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 0 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Initiative démocratique de gauche'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:1 / 577Senate: 0 / 348 European Parliament: 0 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 0 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Social democracy'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'LS: Ligue du Sud'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rassemblement bleu Marine'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jacques Bompard'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:1 / 577Senate: 0 / 348 European Parliament: 0 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 0 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Far-right'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National conservatism, Souverainism, Identitarian movement, Anti-globalization movement, Regionalism, Patriotism, Localism, Poujadism, Liberal conservatism'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'LP: The Patriots'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Florian Philippot'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:1 / 577Senate: 2 / 348 European Parliament: 3 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 0 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Far-right'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Euroscepticism, Souverainism, Gaullism, Populism, Statism, Animal rights'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'GRS: Gauche républicaine et socialiste'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Emmanuel Maurel, Marie-Noëlle Lienemann'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:1 / 577Senate: 1 / 348 European Parliament: 1 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 0 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Left-wing politics'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Socialism, Euroscepticism, Economic Interventionism, Statism,'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'RDG: Les Radicaux de gauche'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Virginie Rozière, Stéphane Saint-André'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:0 / 577Senate: 0 / 348 European Parliament: 1 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 0 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Left to Centre-left'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pro-Europeanism, Environmentalism, Solidarism, Secularism'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MLM: Mouvement libéral et modéré'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Philippe Adnot'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:0 / 577Senate: 1 / 348 European Parliament: 0 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 0 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pè a Corsica'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Libertés and Territories Group'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gilles Simeoni'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:3 / 577Senate: 0 / 348 European Parliament: 0 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 0 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Autonomism, Regionalism, Corsican Nationalism, Independentism'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Picardie debout'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'La France Insoumise group'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'François Ruffin'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:1 / 577 Senate: 0 / 348 European Parliament: 0 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 0 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Radical left, Anti-capitalism, Protectionism, left-wing Souverainism, left-wing populism, Participatory democracy, Eco-socialism'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
