"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Title'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Director'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Cast'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Genre'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Notes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Matlabi Duniya'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jayant Desai'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Madhuri, Ishwarlal, Ram Apte, Kamala Kumari, Charlie, Ghory, Dixit, Khatoon, Raja Sandow, Shanta, Charubala'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Social'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ranjit Pictures. Music: Banne Khan, Rewashankar Lyrics:'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Matwali Jogan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'K. Amarnath'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rajkumari, Ermeline, S. Nazir, Rajinder Singh, Vimla, Putlibai, Azurie, Shahani, Miss Pokhraj'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Devotional'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Metro. Music: Ram Gopal Pande Lyrics: Kabil Amritsari'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Maya'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'P. C. Barua'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pahari Sanyal, Jamuna, Sitara Devi, Raj Lakshmi, Boken Chatterjee, Azurie, Nawab, Nemo, K. C. Dey, Nani Bandhopadhay, Indu Mukherjee, Babulal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Social Romance'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'New Theatres Music: R. C. Boral, Pankaj Mullick Lyrics: Asghar Hussain'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Miss Frontier Mail'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Homi Wadia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Fearless Nadia, Sardar Mansur, John Cawas, Sayani Atish, Jaidev, Gulshan, Jal Khambhata, Manchi Thoothi, Minoo Cooper'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Action Adventure'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Music: Master Mohammed Lyrics:'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mohabbat Ka Toofan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Fram Sethna'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Patience Cooper, Dalsukh, Shivlal, Master Mohan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Action'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pioneer Film Company. Music: Lyrics:'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mr. & Mrs. Bombay'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nanubhai Vakil'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Zubeida, Jal Merchant, Ghulam Hussain, Mustafa, Baby Noor Jehan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Action'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Music: Chhailaram Solanki, S. P. Rane Lyrics: Motilal Mishra'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nari Raj a.k.a. Miss Calcutta'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nanubhai Vakil'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jahanara Kajjan, Jal Merchant, Abdur Rehman, Mubarak, Ghulam Hussain, Mushtaq Hussain, Phool Kumari, Baby Noor Jehan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Costume'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Music: Chhailaram Solanki Lyrics:'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nasib Ka Chakkar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pesi Karani'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mohammed Ishaq, Akhtari, Angurbla, Maneklal, Lakshmandas, Rajmani, Baby Yvonne'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Social'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Manohar Films. Music: Lyrics:'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nazar Ka Shikar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'A. P. Kapoor'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rajkumari, Sitara Devi, Marutirao, Baburao, Khatoon, Abu Bakar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Action'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kumar M. Music: Lyrics: Munshi Asif'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Noor-E-Wahadat'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'G. R. Sethi'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mazhar Khan, Lalita Devi, Patience Cooper, Nand Kishore, Azurie, Purnima'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Costume'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'East India. Music: Motilal Naik Lyrics:'}"
