"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '#'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Event Title'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Date'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Arena'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Location'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '66'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'M-1 Challenge: 2009 Selections 4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'June 24, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Saint Petersburg, Leningrad Oblast, Russia'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '65'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'M-1 Ukraine: Lviv Open Cup'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'June 14, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lviv, Lviv Oblast, Ukraine'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '64'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'M-1 Challenge 16: USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'June 5, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Memorial Hall'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kansas City, Missouri, United States'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '63'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'M-1 Challenge: 2009 Selections 3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'May 28, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Saint Petersburg, Leningrad Oblast, Russia'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '62'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'M-1 Challenge 15: Brazil'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'May 9, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Esporte Clube Sirio'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sao Paulo, Brazil'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '61'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'M-1 Challenge 14: Japan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'April 29, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Differ Ariake Arena'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tokyo, Japan'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '60'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'M-1 Challenge: 2009 Selections 2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'April 19, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Yubileyny Sports Palace'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Saint Petersburg, Leningrad Oblast, Russia'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '59'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'M-1 Challenge 13: Bulgaria'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 28, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sports Hall Mladost'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bourgas, Bulgaria'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '58'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'M-1 Challenge: 2009 Selections 1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 13, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Yubileyny Sports Palace'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Saint Petersburg, Leningrad Oblast, Russia'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '57'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'M-1 Challenge 12: USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'February 21, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Emerald Queen Casino'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tacoma, Washington'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '56'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'M-1 Challenge 11: 2009 Challenge Finals'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'January 11, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Special Sports Centrum'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Amstelveen, North Holland, Netherlands'}"
