"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Year'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Title'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Role'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Director'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Notes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '1995'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""One Tough Bastard or One Man's Justice""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Karl Savak'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kurt Wimmer'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Aurora: Operation Intercept'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gordon Pruett'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Paul Levine'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1996'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kounterfeit'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Frankie'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'John Mallory Asher'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '1997'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No Contest II or Face the Evil'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jack Terry'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Paul Lynch'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ravager'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Cooper Wayne'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'James D. Deck'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '1999'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sweepers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Doctor Cecil Hopper'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Keoni Waxman'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Warlock III: The End of Innocence'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Warlock / Phillip Covington'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Eric Freiser'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '2000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Highlander: Endgame'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jacob Kell'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Doug Aarniokoski'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Based on characters created by Gregory Widen'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dungeons & Dragons'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Damodar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Courtney Solomon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Based on the Dungeons & Dragons role-playing game'}",
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '2001'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Never Say Never Mind: The Swedish Bikini Team'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mr. Blue'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Frederick Feitshans IV'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'A spoof of the James Bond films'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ripper'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Marshall Kane'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'John Eyres'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2002'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Steal or Riders'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lieutenant Macgruder'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gerard Pires'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '2003'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Newton's Law""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dad'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pete Antico'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Short Film'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hellborn or Asylum of the Damned'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dr. McCort'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Philip J. Jones'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2004'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Paranoia 1.0 or One Point O'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Neighbour'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jeff Renfroe and Marteinn Thorsson'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2005'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dungeons & Dragons: Wrath of the Dragon God'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Damodar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gerry Lively'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Based on the Dungeons & Dragons role-playing game'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2007'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Messages'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Doctor Robert Golding'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'David Fairman'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2008'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Brothel'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Thief/Death'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Amy Waddell'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2010'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dance Star'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Harry'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Steven M. Smith'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Short film'}"
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '2011'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Prowl'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bernard'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Patrik Syversen'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Carmen's Kiss""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Michael'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'David Fairman'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'An adaptation of the Georges Bizet opera Carmen'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Greystone Park or The Asylum Tapes'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Demon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sean Stone'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Voice role'}"
"{'column_span': 1, 'is_header': False, 'row_span': 3, 'value': '2013'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Getaway'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Distinguished Man'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Courtney Solomon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Vendetta'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mr Rooker'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Stephen Reynolds'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Victor Young Perez'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rudolf Hoess'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jacques Ouaniche'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Based on the life of Victor Perez'}",
"{'column_span': 1, 'is_header': False, 'row_span': 3, 'value': '2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tales of the Supernatural'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Father Doyle'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Steven M. Smith'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Final Command'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kane'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ross Peacock'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Short film'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Asylum'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lieutenant Sharp'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Todor Chapkanov'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 4, 'value': '2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Age of Kill'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Prime Minister James Newmont'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Neil Jones'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Re-Kill'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Winston'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Valeri Milev'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Antwerp Dolls'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ray Ferrino'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jake Reid'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ripper'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jack the Ripper'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'James Campbell'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Short film'}",
"{'column_span': 1, 'is_header': False, 'row_span': 3, 'value': '2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Breakdown'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Peter Grainger'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jonnie Malachi'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Shopping'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nick'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Layke Anderson'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Short film'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'In the Morning'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'James'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tom Kinnersly'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Short film'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Rizen'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Admin'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Matt Mitchell'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'London Unplugged'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nick'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Layke Anderson'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Anthology film'}"
"{'column_span': 1, 'is_header': False, 'row_span': 9, 'value': '2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Creators: The Past'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lord Kal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Piergiuseppe Zaia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Acid Pit Stop'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jacob'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jason Wright'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Natas Corp'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Fredrik Hiller'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Preproduction'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Michael-The Michael Watson Story'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Frank Warren'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sean Cronin'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Preproduction'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bharal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sterling'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jake Reid'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Preproduction'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Made Ordinary'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dr Andersson'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Christian Kotey'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Preproduction'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Creators: The Present'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lord Kal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Piergiuseppe Zaia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Preproduction'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Razor Bastard'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Adrien Blackstone'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ranjeet S. Marwa'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Preproduction'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Reflections'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Will'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Chris David'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Short Film. Pre Production'}",
