"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Year'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Title'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Artist(s)'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Album'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Powder Snow ～永遠に終わらない冬～""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sandaime J Soul Brothers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Miracle'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2013'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Looks @ Us Now!""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sandaime J Soul Brothers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Miracle'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2013'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Spark""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sandaime J Soul Brothers from Exile Tribe'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Blue Impact'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2013'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Burning Up""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sandaime J Soul Brothers vs. Generations'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Blue Impact'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2013'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Fuyu Monogatari"" (冬物語)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sandaime J Soul Brothers from Exile Tribe'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Blue Impact'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2013'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""So Right""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sandaime J Soul Brothers from Exile Tribe'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Blue Impact'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""S.A.K.U.R.A.""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sandaime J Soul Brothers from Exile Tribe'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Planet Seven'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""R.Y.U.S.E.I.""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sandaime J Soul Brothers from Exile Tribe'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Planet Seven'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""The Revolution""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Exile Tribe'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Exile Tribe Revolution'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""24WORLD""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Exile Tribe'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Exile Tribe Revolution'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""C.O.S.M.O.S. ～秋桜～""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sandaime J Soul Brothers from Exile Tribe'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Planet Seven'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""O.R.I.O.N.""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sandaime J Soul Brothers from Exile Tribe'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Planet Seven'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Storm Riders""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sandaime J Soul Brothers from Exile Tribe (feat. Slash)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Storm Riders Single Album'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""J.S.B. Dream""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sandaime J Soul Brothers from Exile Tribe'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Storm Riders Single Album'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Summer Madness""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sandaime J Soul Brothers from Exile Tribe (feat. Afrojack)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Summer Madness Single Album'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Unfair World""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sandaime J Soul Brothers from Exile Tribe'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Unfair World Single Album'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Feel So Alive""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sandaime J Soul Brothers from Exile Tribe'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Single Album'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Welcome to Tokyo""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sandaime J Soul Brothers from Exile Tribe'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Welcome to Tokyo Single Album'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""HAPPY""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sandaime J Soul Brothers from Exile Tribe'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'HAPPY Single Album'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""J.S.B Happiness""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sandaime J Soul Brothers from Exile Tribe'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'J.S.B Happiness Single Album'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Koi to Ai"" (恋と愛)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sandaime J Soul Brothers from Exile Tribe'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Future'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""RAINBOW""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sandaime J Soul Brothers from Exile Tribe (feat. Yellow Claw)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Future'}"
