"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Date'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'First ...'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Mission'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Person(s)'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Country'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'December 14, 1962'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Successful flyby of another planet (Venus closest approach 34,773 kilometers)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mariner 2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '– N/A'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 18, 1965'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Spacewalk'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Voskhod 2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Alexei Leonov'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Soviet Union'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'December 15, 1965'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Space rendezvous'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gemini 6A and Gemini 7'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Schirra, Stafford, Borman, Lovell'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'February 3, 1966'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Soft landing on the Moon by a spacecraft'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Luna 9'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '– N/A'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Soviet Union'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 1, 1966'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First human-made object to impact another planet'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Venera 3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '– N/A'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Soviet Union'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 16, 1966'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Orbital docking between two spacecraft'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gemini 8 & Agena Target Vehicle'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Neil Armstrong, David Scott'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'April 3, 1966'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Artificial satellite of another celestial body (other than the Sun)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Luna 10'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '– N/A'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Soviet Union'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'October 18, 1967'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First spacecraft to perform transmit data from the atmosphere of another planet'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Venera 4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '– N/A'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Soviet Union'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'December 21–27, 1968'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First humans to enter the gravitational influence of another celestial body (the Moon) and orbit it'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Apollo 8'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Borman, Lovell, Anders'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 20, 1969'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Humans land and walk on another celestial body (Moon)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Apollo 11'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Neil Armstrong, Buzz Aldrin'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'December 15, 1970'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First telemetry from the surface of another planet'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Venera 7'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '– N/A'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Soviet Union'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'April 19, 1971'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Operational space station'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Salyut 1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '– N/A'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Soviet Union'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'June 7, 1971'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Resident crew'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Soyuz 11 (Salyut 1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Georgy Dobrovolsky, Vladislav Volkov, Viktor Patsayev'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Soviet Union'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 20, 1976'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pictures from the surface of Mars'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Viking 1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '– N/A'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'April 12, 1981'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Reusable orbital spaceship'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'STS-1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Young, Crippen'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'February 19, 1986'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Long-duration space station'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mir'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '– N/A'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Soviet Union'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'February 14, 1990'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Photograph of the whole Solar System'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Voyager 1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '– N/A'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 20, 1998'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Current space station'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'International Space Station'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '– N/A'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'August 25, 2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Artificial space probe in interstellar space'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Voyager 1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '– N/A'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 12, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Artificial probe to make a planned and soft landing on a comet (67P/Churyumov–Gerasimenko)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rosetta'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '– N/A'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'European Space Agency'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 14, 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nation to have its space probes to explore all of the nine major planets recognized in 1981'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'New Horizons'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '– N/A'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'December 20, 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Vertical landing of an orbital rocket booster on a ground pad.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Falcon 9 flight 20'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '– N/A'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'April 8, 2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Vertical landing of an orbital rocket booster on a floating platform at sea.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SpaceX CRS-8'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '– N/A'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 30, 2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Relaunch and second landing of a used orbital rocket booster.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SES-10'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '– N/A'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'January 3, 2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Soft landing on the lunar far side by a spacecraft.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Chang'e 4""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '– N/A'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'China'}"
