"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Year'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Title'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Role'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Notes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '1956'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The 20th Century-Fox Hour'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Susan Harland / Joan Byrnes'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episodes: ""One Life"", ""Yacht on the High Sea""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Playwrights '56""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Belle Thurmond / Mrs. Scott'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episodes: ""The Undiscovered Country"", ""The Answer""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1956-1958'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Playhouse 90'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Three episodes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 3, 'value': '1957'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Alcoa Hour'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Brita'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""A Double Life""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kraft Theatre'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episodes: ""Nothing Personal"", ""A Night of Rain""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Wagon Train'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Clara Beauhaump'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""The Clara Beauchamp Story""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '1958'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Matinee Theatre'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Beatrice'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episodes: ""Much Ado About Nothing, Pt. 1"", ""Much Ado About Nothing, Pt.2""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pursuit'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mrs. Claire Holden'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Ticket to Tangier""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '1959'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Thin Man'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Lady Frankenstein""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rawhide'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Madrina Wilcox'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Incident of the Judas Trap""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '1960'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Play of the Week'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Andromache'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Tiger at the Gates""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Moment of Fear'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sally Mellanby'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""The Golden Deed""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 3, 'value': '1961'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Americans'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rose Greenbow'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""The Rebellious Rose""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Shirley Temple's Storybook""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Merwitch'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""The Little Mermaid""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Checkmate'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Anne Elliot'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""State of Shock""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1961-1964'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Route 66'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Samantha / Autumn Ely / Lillian Aldrich'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Four episodes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 4, 'value': '1962'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bus Stop'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kitty Blaine'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Cry to Heaven""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Dick Powell Theatre'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ginny Thatcher'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""The Seeds of April""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Theatre '62""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mrs. Danvers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Rebecca""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Naked City'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kitty Lamson / Maude Hutchinson'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episodes: ""The Sweetly Smiling Face of Truth"", ""The Fingers of Henri Tourelle""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 6, 'value': '1963'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Virginian'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Frances Graham'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Vengeance is the Spur""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sam Benedict'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nora Hildon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Of Rusted Cannons and Fallen Sparrows""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Arrest and Trial'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ellen Burnham'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""My Name is Martin Burnham""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kraft Suspense Theatre'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sarah Middleton'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""The End of the World, Baby""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Greatest Show on Earth'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Angelica Cellini'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Leaves in the Wind""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Outer Limits'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Eva Fraser'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""The Borderland""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '1964'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Burke's Law""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Anjanette Delacroix'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Who Killed 1/2 of Glory Lee?""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mr. Broadway'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Maggie'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Maggie, Queen of the Jungle""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '1965'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dr. Kildare'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Georgia Pettigrew'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""My Name is Lisa, and I Am Lost""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Combat!'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Madame Carmaux'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""The Casket""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '1966'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'A Man Called Shenandoah'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Marlee Cole'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Marlee""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Long, Hot Summer'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Carlotta'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Carlotta, Come Home""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 3, 'value': '1967'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'I Spy'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gerta'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Child Out of Time""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bob Hope Presents the Chrysler Theatre'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Vera Stannard / Dee'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episodes: ""A Time to Love"", ""And Baby Makes Five""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bonanza'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Clarissa'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Clarissa""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1968-1970'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Name of the Game'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mrs. Fredericks / Angela Morgan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Three episodes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1968-1973'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Mod Squad'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mrs. Dykstra / Virginia Westphal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episodes: ""Don\'t Kill My Child"", ""Love""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '1969'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Wild Wild West'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Duchess Sophia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""The Night of the Cossacks""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gunsmoke'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Agatha Corey'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Coreyville""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 4, 'value': '1970'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Paris 7000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""No Place to Hide""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The F.B.I.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Terry Simms'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""The Dealer""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'To Rome with Love'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Diana Masterson'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Beautiful People""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'McCloud'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Police Sergeant F.J. Dameron'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Walk in the Dark""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '1971'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'That Girl'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Frances Nelson'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""That Script""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Men at Law'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Marathon""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 4, 'value': '1973'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hawaii Five-O'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Marian Scott'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Little Girl Blue""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Brian Keith Show'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mrs. Peterson'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Sean\'s Midas Touch""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Wide World of Mystery'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nellie'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""A Little Bit Like Murder""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Owen Marshall, Counselor at Law'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sylvia Mitchell'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""A Lesson in Loving""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1973-1976'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Barnaby Jones'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Myra Westmore / Eleanor DeRoche'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episodes: ""The Stalking Horse"", ""Divorce - Murderer\'s Style""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '1974'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Magician'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Irene Denore'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""The Illusion of the Stainless Steel Lady""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The ABC Afternoon Playbreak'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ceil'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Oh Baby, Baby, Baby""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1975'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kolchak: The Night Stalker'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Madame Trevi'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""The Trevi Collection""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1977'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""McMillan"" (formally McMillan and Wife'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Marietta Galway'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Phillip\'s Game""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1979'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lou Grant'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mrs. Polk'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Hollywood""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1985-1986'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Shadow Chasers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dr. Juliana Moorhouse'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Three episodes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 3, 'value': '1986'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Trapper John, M.D.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Julie Luden'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Play Your Hunch""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Comedy Factory'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hannah Kingsley'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Chameleon""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The New Mike Hammer'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mildred Hoftsteder'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""The Golden Lady""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1988'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'War and Remembrance'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Comtesse de Chambrun'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mini-series'}"
"{'column_span': 1, 'is_header': False, 'row_span': 4, 'value': '1990'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Room for Romance'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""A Midsummer Night\'s Reality""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'L.A. Law'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Marcia Schwartz'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Smoke Gets in Your Thighs""'}",
