"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Portrait'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Name'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Entered office'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Left office'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Political party'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Prime Minister'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Refs'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Antonio González de Aguilar The Marquis of la Vega de Armijo'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8 February 1881'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '13 October 1883'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liberal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Práxedes Mateo-Sagasta y Escolar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Servando Ruiz-Gómez y González-Llanos'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '13 October 1883'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18 January 1884'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liberal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'José de Posada y Herrera'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'José de Elduayen The Marquis of the Pazo de la Merced'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18 January 1884'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '27 November 1885'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Conservative'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Antonio Cánovas del Castillo'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Segismundo Moret y Prendergast'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '27 November 1885'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '14 June 1888'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liberal'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Práxedes Mateo-Sagasta y Escolar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Antonio González de Aguilar The Marquis of la Vega de Armijo'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '14 June 1888'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5 July 1890'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liberal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Carlos O'Donnell The Duke of Tetuan""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5 July 1890'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '11 December 1892'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Conservative'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Antonio Cánovas del Castillo'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Antonio González de Aguilar The Marquis of la Vega de Armijo'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '11 December 1892'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5 April 1893'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liberal'}","{'column_span': 1, 'is_header': False, 'row_span': 3, 'value': 'Práxedes Mateo-Sagasta y Escolar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Segismundo Moret y Prendergast'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12 March 1894 (Acting from 5 April 1893)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4 November 1894'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liberal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Alejandro Groizard y Gómez de la Serna'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4 November 1894'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '23 March 1895'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liberal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Carlos O'Donnell The Duke of Tetuan""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '23 March 1895'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 January 1896'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Conservative'}","{'column_span': 1, 'is_header': False, 'row_span': 3, 'value': 'Antonio Cánovas del Castillo'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'José de Elduayen The Marquis of the Pazo de la Merced'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 January 1896'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5 March 1896'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Conservative'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': ""Carlos O'Donnell The Duke of Tetuan""}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '5 March 1896'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '4 October 1897'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Conservative'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Marcelo de Azcárraga y Palmero'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pío Gullón e Iglesias'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4 October 1897'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18 May 1898'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liberal'}","{'column_span': 1, 'is_header': False, 'row_span': 3, 'value': 'Práxedes Mateo-Sagasta y Escolar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'José Gutiérrez de Agüera Acting'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18 May 1898'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '24 May 1898'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liberal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Juan Manuel Sánchez The Duke of Almodóvar del Río'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '24 May 1898'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4 March 1899'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liberal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Francisco Silvela y Le Vielleuze'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4 March 1899'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18 April 1900'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Conservative'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Francisco Silvela y Le Vielleuze'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Ventura García-Sancho The Marquis of Aguilar de Campoo'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '18 April 1900'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '6 March 1901'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Conservative'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Marcelo de Azcárraga y Palmero'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Juan Manuel Sánchez The Duke of Almodóvar del Río'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6 March 1901'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6 December 1902'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liberal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Práxedes Mateo-Sagasta y Escolar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Buenaventura de Abarzuza y Ferrer'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6 December 1902'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20 July 1903'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Conservative'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Francisco Silvela y Le Vielleuze'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Manuel de Mariátegui The Count of San Bernardo'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20 July 1903'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5 December 1903'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Conservative'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Marquis of Pozo Rubio'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Faustino Rodríguez-San Pedro y Díaz-Argüelles'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5 December 1903'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16 December 1904'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Conservative'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Antonio Maura y Montaner'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ventura García-Sancho The Marquis of Aguilar de Campoo'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16 December 1904'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '27 January 1905'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Conservative'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Marcelo de Azcárraga y Palmero'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Wenceslao Ramírez de Villa-Urrutia Marquis of Villa-Urrutia from 1916'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '27 January 1905'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '23 June 1905'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Conservative'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Marquis of Pozo Rubio'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Felipe Sanchez Roman.JPG'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Felipe Sánchez Román'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '23 June 1905'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '31 October 1905'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liberal'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Eugenio Montero Ríos'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pío Gullón e Iglesias'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '31 October 1905'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1 December 1905'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liberal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Juan Manuel Sánchez The Duke of Almodóvar del Río'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1 December 1905'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '23 June 1906'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liberal'}","{'column_span': 1, 'is_header': False, 'row_span': 3, 'value': 'Segismundo Moret y Prendergast'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Emilio de Ojeda y Perpiñán Acting'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '23 June 1906'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1 July 1905'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liberal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Juan Pérez-Caballero y Ferrer'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1 July 1906'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6 July 1906'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liberal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pío Gullón e Iglesias'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6 July 1906'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '30 November 1906'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liberal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'José López Domínguez'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Juan Pérez-Caballero y Ferrer'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '30 November 1906'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '25 January 1907'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Liberal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Segismundo Moret y Prendergast'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Marquis of la Vega de Armijo'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Manuel Allendesalazar y Muñoz de Salazar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '25 January 1907'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '21 October 1909'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Conservative'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Antonio Maura y Montaner'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Juan Pérez-Caballero y Ferrer'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '21 October 1909'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9 February 1910'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liberal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Segismundo Moret y Prendergast'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Manuel García-Prieto The Marquis of Alhucemas'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '9 February 1910'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '31 December 1912'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Liberal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'José Canalejas y Méndez'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 3, 'value': 'The Count of Romanones'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Juan Navarro-Reverter y Gomis'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '31 December 1912'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '13 June 1913'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liberal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Count of Lopez Muñoz.JPG'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Antonio López Muñoz Count of López Muñoz from 1920'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '13 June 1913'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '27 October 1913'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liberal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Salvador Bermúdez de Castro The Duke of Ripalda'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '27 October 1913'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9 December 1915'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Conservative'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Eduardo Dato e Iradier'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
