"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Province'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'City/Municipality'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'km'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'mi'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Exit'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Name'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Destinations'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Notes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 4, 'value': 'Pampanga'}","{'column_span': 1, 'is_header': False, 'row_span': 4, 'value': 'Mabalacat'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '150– 88'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '93– 55'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '150'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mabalacat'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'E1 (NLEX) – Manila'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Trumpet interchange; route number change from E4 to E1; signed as exit 88 southbound'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '91'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '57'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '91'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Clark North (San Joaquin/Clark North B)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Clark North'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Directional T interchange'}",,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '93'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '58'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '93'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dolores (Clark North A)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dolores, Bamban'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Half Y/folded diamond interchange; northbound exit and entrance only; connects with MacArthur Highway'}",,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '63'}","{'column_span': 4, 'is_header': False, 'row_span': 1, 'value': 'PTT service area (Northbound)'}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 5, 'value': 'Tarlac'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Concepcion'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '102'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '63'}","{'column_span': 4, 'is_header': False, 'row_span': 1, 'value': 'Seaoil service area (Southbound)'}",,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '103'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '64'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '103'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Concepcion, Capas'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Trumpet interchange. Access with the Concepcion–Magalang Road.'}",,,
"{'column_span': 1, 'is_header': False, 'row_span': 3, 'value': 'Tarlac City'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '118'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '73'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '118'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hacienda Luisita'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hacienda Luisita, San Miguel (Tarlac City), Capas (North)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Half trumpet interchange. Northbound exit and southbound entrance. Access to Hacienda Luisita Industrial Park'}",
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 4, 'is_header': False, 'row_span': 1, 'value': 'Tarlac toll plaza (electronic toll collection, cash payments. from 18 March 2016)'}",,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '122'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '76'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '122'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'E1 (TPLEX), Tarlac City, La Paz, Cabanatuan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Half Y/folded diamond interchange; interchange toll plaza demolished; continues northward as Tarlac-Pangasinan-La Union Expressway (TPLEX)'}",,,
"{'column_span': 9, 'is_header': False, 'row_span': 1, 'value': '1.000 mi = 1.609 km; 1.000 km = 0.621 mi Closed/former Incomplete access Concurrency terminus Tolled Route transition Unopened'}",,,,,,,
