"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Title'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Chip'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Year'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Developer'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Publisher'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Suzuka 8 Hours'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'DSP-1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1993'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Arc System Works'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Namco (NA) (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Super Air Diver 2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'DSP-1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1995'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Copya System'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Asmik (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Super Bases Loaded 2 NA Super 3D Baseball JP Korean League KR'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'DSP-1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1993'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TOSE'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jaleco (NA) (JP) (KR)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Super F1 Circus Gaiden'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'DSP-1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1995'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nichibutsu (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Battle Racers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'DSP-1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1995'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Banpresto'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Banpresto (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Super Mario Kart'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'DSP-1/1B'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1992'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nintendo EAD'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nintendo (NA) (JP) (EU)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ace o Nerae! 3D Tennis'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'DSP-1A'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1993'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Telenet Japan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Telenet Japan (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ballz 3D'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'DSP-1B'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1994'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'PF Magic'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Accolade (NA)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dungeon Master'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'DSP-2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1992'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'FTL Games'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'JVC Victor (NA) (JP) (EU)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SD Gundam GX'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'DSP-3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1994'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'BEC'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bandai (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Top Gear 3000 NA EU The Planet's Champ TG 3000 JP""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'DSP-4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1995'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gremlin Interactive'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kemco (NA) (JP) (EU)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Metal Combat: Falcon's Revenge""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'OBC-1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1993'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Intelligent Systems'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nintendo (NA) (EU)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Asahi Shinbun Rensai: Katou Ichi-Ni-San Shougi: Shingiryuu'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1995'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Varie'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Varie (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Daisenryaku Expert WWII: War in Europe'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1996'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SystemSoft Alpha'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ASCII Corporation (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Derby Jockey 2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1995'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Graphic Research'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Asmik (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dragon Ball Z: Hyper Dimension'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1996'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TOSE'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bandai (JP) (EU)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Habu Meijin no Omoshiro Shōgi'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1995'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Access'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tomy (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hayashi Kaihou Kudan no Igo Oodou'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1996'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ask Kodansha (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Itoi Shigesato no Bass Tsuri No. 1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1997'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dice, HAL Laboratory'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nintendo (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""J.League '96 Dream Stadium""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1996'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hudson Soft (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jikkyou Oshaberi Parodius'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1995'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Konami'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Konami (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Jumpin' Derby""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1996'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'KID'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Naxat Soft (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kakinoki Shogi'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1995'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sakata SAS'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ASCII Corporation (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Kirby Super Star NA JP Kirby's Fun Pak EU""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1996'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'HAL Laboratory'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nintendo (NA) (JP) (EU)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Kirby's Dream Land 3""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1997'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'HAL Laboratory'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nintendo (NA) (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Marvelous: Mouhitotsu no Takarajima'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1996'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nintendo R&D2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nintendo (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Masters New: Haruka Naru Augusta 3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1995'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'T&E Soft'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'T&E Soft (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Mini 4WD Shining Scorpion Let's & Go!!""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1996'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'KID'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ASCII Corporation (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pebble Beach no Hotou: New Tournament Edition'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1996'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'T&E Soft'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'T&E Soft (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pachi-Slot Monogatari - PAL Kougyou Special'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1995'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nihon Soft System (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'PGA European Tour'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1996'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Halestorm'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'THQ / Black Pearl Software (NA) (EU)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'PGA Tour 96'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1995'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Black Pearl Software'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Electronic Arts (NA) (EU)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Power Rangers Zeo: Battle Racers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1996'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Natsume'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bandai (NA) (EU)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pro Kishi Jinsei Simulation: Shōgi no Hanamichi'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1996'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Access'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Atlus (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Saikousoku Shikou Shougi Mahjong'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1995'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Varie'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Varie (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SD F-1 Grand Prix'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1995'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Video System'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Video System (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SD Gundam G NEXT'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1995'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Japan Art Media'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bandai (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Shin Shogi Club'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1995'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hect (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Shogi Saikyou'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1995'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Magical Company (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Shogi Saikyou 2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1996'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Magical Company (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Super Bomberman Panic Bomber World'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1995'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hudson Soft'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hudson Soft (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Super Mario RPG: Legend of the Seven Stars'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1996'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Square'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nintendo (NA) (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Super Robot Taisen Gaiden: Masō Kishin - The Lord Of Elemental'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1996'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Winkysoft'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Banpresto (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Super Shougi 3: Kitaihei'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1995'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""I'Max (JP)""}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Taikyoku Igo: Idaten'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1995'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bullet Proof Software'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bullet Proof Software (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Takemiya Masaki Kudan no Igo Taishou'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SA1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1995'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'KSS (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Star Ocean'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'S-DD1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1996'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'tri-Ace'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Enix (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Street Fighter Alpha 2 NA EU Street Fighter Zero 2 JP'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'S-DD1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1996'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Capcom'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Capcom (NA) (JP) (EU)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Daikaijuu Monogatari II'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'S-RTC'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1996'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'AIM, Birthday'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hudson Soft (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Far East of Eden Zero (Tengai Makyou Zero)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SPC7110'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1995'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Red Company'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hudson Soft (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Momotaro Dentetsu Happy'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SPC7110'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1996'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Make Software'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hudson Soft (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Super Power League 4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SPC7110'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1996'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Now Production'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hudson Soft (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'F1 ROC II: Race of Champions NA Exhaust Heat II JP'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ST010'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1993'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SETA Corporation'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SETA Corporation (NA) (JP)'}"
