"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Accessory Name'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Description'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Manufacturer'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Family BASIC Keyboard'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'A Famicom keyboard only used in conjunction with the Family BASIC software.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nintendo'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Family Robot'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'A small battery-powered robot.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nintendo'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Family Trainer'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'A mat that allowed users to control games using their feet.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bandai'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'FAM-NET/FAM-NET II'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Connected the Famicom to an online service.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bridgestone'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TV-NET'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Connected the Famicom to an online service. There are many option IC cards for connecting online services.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Microcore'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Piste'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Connected the Famicom to an online Keirin service.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Microcore'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TV-NET printer'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'printer for TV-NET system'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Microcore'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TV-NET RANK2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Connected the Famicom to an online service.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Microcore'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gun Sight'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Voice activated laser headset.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Konami'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Head Cleaning Card'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'A cleaning kit for the Nintendo FDS.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Unknown'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Joystick-7'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Arcade style joystick with Turbo control for the Famicom. Joystick-7 Mk II'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Unknown'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Joycard Sanusui SSS'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Controller with turbofire and adapter for headphones.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hudson Soft'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Multi-Box'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Enhances the video. Connected to the right side controller nest.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Unknown'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Party Room 21 Controller'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'A quiz show buzzer controller for use of up to six people.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Unknown'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Power Glove'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Virtual hand controller.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'PAX'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Reggie's Joystick""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Famicom controller with turbofire.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Unknown'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Spica T89'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'NES to Famicom cartridge adaptor.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Spica'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Super Controller'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Joystick conversion cover for the Famicom Controller.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bandai'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Toyo Stick'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Famicom arcade style controller.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Toyo'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Turbo File and Turbo File II'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'External storage devices'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ASCII Corporation'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Wu Ho Cassette Adaptor'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'A NES to Famicom adaptor.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Wu Ho'}"
