"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Event'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Record'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Athlete'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Date'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Meet'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Place'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Age'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Ref'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Video'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7:49.16'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Galen Rupp'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 17, 2005'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Italy Lignano Sabbiadoro, Italy'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 years, 70 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5000m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '13:25.46'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'German Fernandez'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'June 26, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Eugene, Oregon United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18 years, 236 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '10,000m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '28:32.7'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rudy Chapa'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'April 24, 1976'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Drake Relays'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Des Moines, Iowa United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18 years, 169 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '28:15.82'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Galen Rupp'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'May 7, 2005'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Oregon Twilight Meet'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Eugene, Oregon United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18 years, 364 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3000m steeplechase'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8:33.8'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'John Gregorek'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'May 20, 1979'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Penn Relays'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Philadelphia, Pennsylvania United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 years, 35 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '110m hurdles (99 cm)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '13.08 (+2.0 m/s)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Wayne Davis'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 31, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pan American Junior Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Trinidad and Tobago Port of Spain, Trinidad and Tobago'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '17 years, 343 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '110m hurdles (106.7 cm)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '13.23 (+0.0 m/s)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Renaldo Nehemiah'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'August 16, 1978'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Weltklasse Zürich'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Switzerland Zürich, Switzerland'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 years, 145 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '400m hurdles'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '48.02'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Danny Harris'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'June 17, 1984'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Olympic Games'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Los Angeles, California United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18 years, 284 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '[2]'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'High jump'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2.31 m (7 ft 6 3⁄4 in)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Andra Manson'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 18, 2002'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'World Junior Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jamaica Kingston, Jamaica'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18 years, 79 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pole vault'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6.05 m (19 ft 10 in)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Armand Duplantis'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'August 12, 2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'European Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Germany Berlin, Germany'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18 years, 275 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Long jump'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8.34 m (27 ft 4 1⁄4 in) (+0.0 m/s)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Randy Williams'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'September 8, 1972'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Olympic Games'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Germany München, Germany'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 years, 16 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Triple jump'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '17.19 m (56 ft 4 3⁄4 in) (+0.4 m/s)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Will Claye'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'June 13, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'NCAA Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Fayetteville, Arkansas'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18 years, 0 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Shot put (6 kg)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '22.06 m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Adrian Piperi'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 10, 2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'World U20 Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Finland Tampere, Finland'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 years, 171 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Shot put (7.26 kg)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '21.14 m (69 ft 4 1⁄4 in)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jordan Geist'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'June 23, 2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA Junior Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Sacramento, California, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18 years, 337 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Discus throw (1.75 kg)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '65.34 m (214 ft 4 1⁄4 in)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mason Finley'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 31, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pan American Junior Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Trinidad and Tobago Port of Spain, Trinidad and Tobago'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18 years, 295 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Discus throw (2 kg)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '63.22 m (207 ft 4 3⁄4 in)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Brian Milne'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 28, 1992'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States State College, Pennsylvania, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 years, 81 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hammer throw (6 kg)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '80.79 m (265 ft 1⁄2 in)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Conor McCullough'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 25, 2010'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'World Junior Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Canada Moncton, Canada'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 years, 175 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hammer throw (7.26 kg)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '70.78 m (232 ft 2 1⁄2 in)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Conor McCullough'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'May 15, 2010'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Princeton, New Jersey, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 years, 104 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Javelin throw'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '74.64 m (244 ft 10 1⁄2 in)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Joseph Zimmerman'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 23, 2010'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'World Junior Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Canada Moncton, Canada'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 years, 130 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '77.84 m (255 ft 4 1⁄2 in)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sam Crouser'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'June 12, 2010'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Portland, Oregon, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18 years, 163 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Decathlon (junior)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gunnar Nixon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 11, 2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'World Junior Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Spain Barcelona, Spain'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 years, 180 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': ''}",,,,,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Decathlon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7892'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gunnar Nixon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'June 7, 2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'NCAA Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Des Moines, Iowa, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 years, 156 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': ''}",,,,,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10,000m walk (track)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '41:23.14'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tyler Sorensen'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 9, 2011'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'World Youth Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France Lille, France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '17 years, 141 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10km walk'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '41:35+'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Trevor Barron'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'June 26, 2011'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Eugene, Oregon United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18 years, 269 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20km walk'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1:23:26'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Trevor Barron'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'June 26, 2011'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Eugene, Oregon United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18 years, 269 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4×100m relay'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '38.66'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Trell Kimmons Abidemi Omole Ivory Williams LaShawn Merritt'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 18, 2004'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'World Junior Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Italy Grosseto, Italy'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
