"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'No.'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Portrait'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Name (Birth–Death) District'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Term of office'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Electoral mandates (Assembly)'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Political party'}"
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '7'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Tommy Douglas (1904–1986) MLA for Weyburn'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10 July 1944 – 7 November 1961'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1944 election (10th Assembly) 1948 election (11th Assembly) 1952 election (12th Assembly) 1956 election (13th Assembly) 1960 election (14th Assembly)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Co-operative Commonwealth Federation Named leader in 1942'}"
"{'column_span': 3, 'is_header': False, 'row_span': 1, 'value': ''}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '8'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Woodrow Lloyd (1913–1972) MLA for Biggar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7 November 1961 – 22 May 1964'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Appointment (14th Assembly)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Co-operative Commonwealth Federation Named leader in 1961'}"
"{'column_span': 3, 'is_header': False, 'row_span': 1, 'value': ''}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '9'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Ross Thatcher (1917–1971) MLA for Morse'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '22 May 1964 – 30 June 1971'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1964 election (15th Assembly) 1967 election (16th Assembly)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Saskatchewan Liberal Party Named leader in 1959'}"
"{'column_span': 3, 'is_header': False, 'row_span': 1, 'value': ''}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '10'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Allan-Blakeney-2009.jpeg'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Allan Blakeney (1925–2011) MLA for Regina Centre (until 1975) MLA for Regina Elphinstone (from 1975)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '30 June 1971 – 8 May 1982'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1971 election (17th Assembly) 1975 election (18th Assembly) 1978 election (19th Assembly)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Saskatchewan New Democratic Party Named leader in 1970'}"
"{'column_span': 3, 'is_header': False, 'row_span': 1, 'value': ''}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '11'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Grant Devine (b. 1944) MLA for Estevan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8 May 1982 – 1 November 1991'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1982 election (20th Assembly) 1986 election (21st Assembly)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Progressive Conservative Party of Saskatchewan Named leader in 1979'}"
"{'column_span': 3, 'is_header': False, 'row_span': 1, 'value': ''}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '12'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Roy Romanow (b. 1939) MLA for Saskatoon Riversdale'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1 November 1991 – 8 February 2001'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1991 election (22nd Assembly) 1995 election (23rd Assembly) 1999 election (24th Assembly)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Saskatchewan New Democratic Party Named leader in 1987'}"
"{'column_span': 3, 'is_header': False, 'row_span': 1, 'value': ''}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '13'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Lorne Calvert (b. 1952) MLA for Saskatoon Riversdale'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8 February 2001 – 21 November 2007'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Appointment (24th Assembly) 2003 election (25th Assembly)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Saskatchewan New Democratic Party Named leader in 2001'}"
"{'column_span': 3, 'is_header': False, 'row_span': 1, 'value': ''}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '14'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Brad Wall (b. 1965) MLA for Swift Current'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '21 November 2007 – 2 February 2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2007 election (26th Assembly) 2011 election (27th Assembly) 2016 election (28th Assembly)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Saskatchewan Party Named leader in 2004'}"
"{'column_span': 3, 'is_header': False, 'row_span': 1, 'value': ''}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '15'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Scott Moe (b. 1973) MLA for Rosthern-Shellbrook'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2 February 2018 – incumbent'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Appointment (28th Assembly)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Saskatchewan Party Named leader in 2018'}"
"{'column_span': 3, 'is_header': False, 'row_span': 1, 'value': ''}",,,,,
"{'column_span': 7, 'is_header': False, 'row_span': 1, 'value': '^Co. Coalition government ^Min. Minority government'}",,,,,
