"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Sail no.'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Yacht name'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Original team/syndicate'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Competitive history'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Subsequent history'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA–11'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Stars & Stripes'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lost 1992 defender finals 4–7'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Used by Dennis Conner as trial horse for 1995 campaign, sold to the US Virgin Islands America's Cup Challenge for AC 2000.""}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'NZL–12'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'NZ Challenge'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Trial boat (never raced)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Charter in Nassau, Bahamas'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '13'}","{'column_span': 4, 'is_header': False, 'row_span': 1, 'value': 'Sail number never issued.'}",,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'NZL–14'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'NZ Challenge'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Trial boat (never raced)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Charter in Queenstown, New Zealand'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ITA–15'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Il Moro di Venezia III'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Il Moro di Venezia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Trial boat (never raced)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Launched 15 April 1991, San Diego, California. Americas Cup Management in Valencia, Spain'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ITA–16'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Il Moro di Venezia IV'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Il Moro di Venezia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Trial boat, never raced'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Launched 15 June 1991, San Diego, California. Currently under restoration in Ventura, California USA.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'AUS–17'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Challenge of Australia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Challenge Australia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Finished 8th 1992 LVC'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gear was re-used for AUS–29'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA–18'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Defiant'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'America³'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Superseded by USA–28 after 1992 third defender R-R'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""On Display at the Herreshoff Marine Museum and America's Cup Hall of Fame in Bristol, Rhode Island""}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SWE–19'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tre kronor'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Swedish America's Cup Challenge""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Finished 7th 1992 LVC'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Charter in Sweden. She can be spotted on Google maps.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'NZL–20'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'New Zealand'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'NZ Challenge'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lost 1992 LVC Final to ITA–25 4–7'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Restored in 2000 and sailed (privately) in San Francisco. In 2005 returned to Auckland, New Zealand and is moored in Viaduct Basin.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'AUS–21'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Spirit of Australia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Finished 6th in 1992 LVC'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Charter Sydney Harbour. Renamed ""FT Spirit"" by Financial Times newspaper for year-long lease.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ESP–22'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Espana 92'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Desafio Español'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Finished 5th in 1992 LVC'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Training boat for Desafio 95, currently grounded in Cadiz (Spain) near the bridge in the entrance of the city.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA–23'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'America³'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'America³'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Winner 1992 AC 4–1 against ITA–25, also used in Defender trials in 1995 prior to replacement USA–43'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Purchased by Patrizio Bertelli for his Prada Challenge as training boat for 2000. Reacquired by Bill Koch and restored to 1992 condition.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'RUS–24'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Age of Russia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hull arrived in San Diego, but never sailed'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Anchored in Morro Bay. Current sail number is USA–24.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ITA–25'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Il Moro di Venezia V'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Il Moro di Venezia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Defeated challenger for 1992 AC 1–4 to USA–23'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Launched 16 December 1991, San Diego, California. In 1997 purchased by Paul Cayard's AmericaOne syndicate as trial horse for USA–60 for AC2000.""}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'JPN–26'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nippon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nippon Challenge'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3rd after LVC 1992 semi-final'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'On display at Laguna Gamagori, Gamagōri, Aichi, Japan'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'FRA–27'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'F3 Ville de Paris'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Le Défi Francais'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4th after LVC 1992 semi-final'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'In St. Tropez, France – F3 Ville de Paris – very poor condition, damaged bow, blue hull paint completely worn, stripped for parts to support F2 Ville de Paris (FRA–8), which is available for charter by Académie de Yachting in St.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA–28'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kanza'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'America³'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sailed only in 1992 defender R-R 4, discarded for USA–23'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Upon launch in February 1992 was nicknamed Kanza. Currently owned by +39 Challenge in Palermo Sicily with +39 Challenge livery.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'AUS–29'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sydney 95'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Australian Challenge'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6th in LVC R-R'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'In 2000 sailed by Young Australia. Is in Cabo San Lucas, Mexico, with AUS–31, NZL– 81 and NZL 82.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'JPN–30'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nippon Challenge'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sailed in LVC R-R 1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'On display in Japan'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'AUS–31'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'oneAustralia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Defeated in LVC final to NZL–32'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'In 2000 sailed by Young Australia. AUS–31 currently in Cabo San Lucas, Mexico with AUS–29, NZL–81 and NZL–82 running match races for tourists to the area.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'NZL–32'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'NZL 32'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Team New Zealand'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Winner of the 1995 AC. Winner 1995 LVC'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Trial boat for LE DEFI 2003, currently displayed at New Zealand National Maritime Museum'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'FRA–33'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France 3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Le Défi Francais'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sailed in LVC R-R 1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Currently named ""France 3"" in charter with Solent Experience (operated by Sunsail) out of Portsmouth, UK'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA–34'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Stars & Stripes'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Won defender series, discarded for USA–36 in finals'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Charter in San Diego.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'AUS–35'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'oneAustralia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Broke apart and sank in deep water off San Diego, CA on 6 March 1995 during LVC R-R 4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Attempts to recover the boat were abandoned'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA–36'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Young America'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'PACT 95'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sailed by Stars & Stripes team in unsuccessful 1995 AC defense'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hull on display (permanent collection) Storm King Art Center, Mountainville NY, USA'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'FRA–37'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France 3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Le Défi Francais'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Finished 5th LVC R-R'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Currently named France 3 in charter with Solent Experience (operated by Sunsail) out of Portsmouth, UK'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'NZL–38'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Team New Zealand'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Won 1995 LVC. Sold to Victory Challenge, Sweden to support 2003 AC challenge.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""New sail number and name is SWE–38 (‘'Christina). Currently sitting in storage yard in Auckland, NZ.""}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'NZL–39'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tag Heuer'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3rd in LVC.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2005 – Sold to Supersail Deutschland in Kiel, Germany for corporate charters.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'FRA–40'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Challenge France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Failed project, boat completed but never raced'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Charter in Australia with Sailing Sydney as AUS–40'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'JPN–41'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nippon 95'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nippon Challenge'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Finished 4th in LVC.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Charter in New Zealand with SailNZ as NZL–41'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ESP–42'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Roja de Espana'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Desafio Español'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Finished 7th in LVC.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Became ESP–56'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA–43'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mighty Mary'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'America³'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Competed in defender series with all-female crew.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Owned by +39 Challenge in Palermo Sicily in +39 Challenge livery.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'JPN–44'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ashura'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nippon Challenge'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sailed in R-R 1 & 2, finished 4th in LVC Semi-final'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Americas Cup Management, on display in Valencia.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ITA–45'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Luna Rossa'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Prada Challenge'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Winner 2000 LVC 5–4 over USA–61, lost AC 0–5 to NZL–60'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'FRA–46'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6eme sans'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Le Défi Francais'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Finished 6th in LVC Semi-finals'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Owner China Team, in Valencia'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ESP–47'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bravo Espana'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Desafio Español'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Finished LVC R-Rs' in 8th place""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sold to Mascalzone Latino, later sold to UITG in a package together with 72 in an effort to get rid of 47.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ITA–48'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Prada Challenge'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sailed in LVC R-R 1 & 2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Owner Shosholoza, in MSC yard, Salt River, Cape Town'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA–49'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'AmericaOne'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sailed in LVC R-R 1,2, & 3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Involved in minor collision in the early rounds of AC2000 with USA–55 Stars and Stripes. Acquired by BMW Oracle Racing in advance of AC2003.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA–50'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Abracadabra'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Aloha Racing'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sailed in LVC R-R 1 & 2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Acquired in 2005 by Next Level Sailing (San Diego, CA) for competition in local regattas. Currently sitting in south San Diego Bay in dry dock at Knight and Carver Marina, National City, California next to USA–49.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA–51'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'America True'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Finished 5th LVC Semi-finals'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2007 – Owned by Desafio Español 2007'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'JPN–52'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Idaten'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nippon Challenge'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Raced in LVC R-R 3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'In 2005 sold to Supersail Deutschland in Kiel, Germany for corporate charters. Renamed GBR–52.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA–53'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Young America'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Young America'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hull failure during LVC R-Rs'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Luna Rossa Challenge, location unknown'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA–54'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Aloha Racing'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sailed in LVC R-R 3, finished 9th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sold by Aloha Racing (Waikiki Yacht Club) to BMW Oracle racing as training boat, later acquired by Team Dennis Conner as trial horse for USA 66 and heavily modified.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA–55'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Stars & Stripes'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Finished 3rd LVC Semi-finals'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Owner Mascalzone Latino, on display in Naples, Italy at the Port of Naples'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ESP–56'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Desafio Español'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Trial boat (never raced)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Private owner, in Cartagena Spain'}"
