"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Event'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Record'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Athlete'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Date'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Meet'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Place'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Ref'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '15 km (road)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '42:44'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Luketz Swartbooi'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '26 February 1994'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Tampa, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20 km (road)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '59:05'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ruben Indongo'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12 October 2008'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France Paris, France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Half marathon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1:01:26'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Luketz Swartbooi'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 September 1993'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Philadelphia, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Marathon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2:09:08'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Luketz Swartbooi'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18 April 1994'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Boston Marathon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Boston, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '110 m hurdles'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '14.12'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Flip Bredenhann'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 November 1980'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South Africa Sasolburg, South Africa'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '400 m hurdles'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '49.05'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Willie Smith'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16 March 2001'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South Africa Roodepoort, South Africa'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5 April 2002'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South Africa Germiston, South Africa'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3000 m steeplechase'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9:31.23'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Frank Tuihaleni Kayele'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 June 1992'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Namibia Windhoek, Namibia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'High jump'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2.18 m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Max Schäfer'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16 April 1988'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South Africa Bloemfontein, South Africa'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pole vault'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4.84 m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Johan Mostert'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '25 February 1984'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South Africa Windhoek, South West Africa'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Long jump'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8.24 m A'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Stephan Louw'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12 January 2008'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South Africa Germiston, South Africa'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Triple jump'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16.78 m A (+0.8 m/s)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Roger Haitengi'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '13 February 2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nkwalu Invitational'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South Africa Johannesburg, South Africa'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Shot put'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '17.10 m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Derreck Wiggill'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 April 1969'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South Africa Bloemfontein, South Africa'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Discus throw'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '45.95 m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ryan Williams'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10/11 June 2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Zimbabwe Harare, Zimbabwe'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hammer throw'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '52.78 m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Walter Mostert'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '23 January 1982'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South Africa Windhoek, South West Africa'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Javelin throw'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '78.32 m A'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Strydom van der Wath'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9 May 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South African Open Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South Africa Potchefstroom, South Africa'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Decathlon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5814 pts (ht)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Reginald Benade'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '21–22 June 1996'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Namibia Windhoek, Namibia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 5, 'is_header': False, 'row_span': 1, 'value': '11.5 (100 m), 6.20 m (long jump), 13.10 m (shot put), 1.90 m (high jump), 55.3 (400 m) / 18.0 (110 m hurdles), 42.39 m (discus), 2.80 m (pole vault), 46.25 m (javelin), 5:18.7 (1500 m)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20 km walk (road)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1:42:05'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Elvin Alberts'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1 July 1995'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Namibia Windhoek, Namibia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '50 km walk (road)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4 × 100 m relay'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '39.22'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Namibia Even Tjiviju Hitjivirue Kaanjuka Dantago Gurirab Jesse Urikhob'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '15 September 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'African Games'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Republic of the Congo Brazzaville, Republic of the Congo'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 3, 'value': '4 × 400 m relay'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3:11.60'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Namibia Erwin Naimwhaka Veranus Kamati Mao Tjiroze Christoffel Van Wyk'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20 September 1998'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Commonwealth Games'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Malaysia Kuala Lumpur, Malaysia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3:11.53'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Namibia Mahmad Bock Hardus Maritz Even Tjiviju Ernst Narib'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4 August 2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'African Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nigeria Asaba, Nigeria'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3:08.53 A'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Namibia Mahmad Bock Warren Goreseb Even Tjiviju Ernst Narib'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '30 March 2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lefika Athletics Club Relay and Hurdles event'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Botswana Gaborone, Botswana'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
