review_id,title,year,journal,n_studies,population,intervention,comparator,outcome,effect_size,ci_lower,ci_upper,quality_rating,database_source
SR00015,Expert Republican certain.,2006,Science,73,ICU patients,placebo,cephalosporin,weight loss,1.55,1.28,1.68,Low,LOVE
SR00016,Across entire answer few arrive draw kind.,2023,NEJM,64,Adults,ACE inhibitors,standard care,weight loss,1.09,0.99,1.21,Low,Ovid
SR00017,Catch probably leave trial street class positive.,2010,Nature,18,Diabetics,behavioral therapy,standard care,weight loss,1.06,1.0,1.34,High,Cochrane
SR00018,Population concern market condition left true.,2007,NEJM,20,Smokers,metformin,low dose,mortality,1.19,1.12,1.42,Low,Ovid
SR00019,Establish method loss hard international court change.,2003,JAMA,43,Children,behavioral therapy,standard care,weight loss,1.17,1.03,1.42,Critically Low,LOVE
SR00020,Environment up enjoy whole majority.,2000,Lancet,61,Diabetics,behavioral therapy,standard care,hospitalization,1.41,1.33,1.51,Low,PubMed
SR00021,Half newspaper course will.,2011,Nature,71,Adults,behavioral therapy,no therapy,smoking cessation,1.4,1.3,1.67,Low,LOVE
SR00022,Sort site fund already arrive stay.,2003,Lancet,69,ICU patients,carbapenem,no therapy,mortality,0.99,0.74,1.24,Low,Web of Science
SR00023,Owner defense less station.,2023,Nature,58,Diabetics,metformin,standard care,smoking cessation,1.48,1.23,1.73,Low,Scopus
SR00024,Team program significant someone space.,2010,Nature,45,Adults,carbapenem,none,weight loss,0.96,0.72,1.04,Moderate,Web of Science
SR00025,Drive significant spend who woman today street air.,2010,Science,38,ICU patients,behavioral therapy,placebo,hospitalization,1.83,1.75,2.08,Low,Web of Science
SR00026,Development sport enjoy section condition deep not foreign.,2002,NEJM,72,Pregnant women,statins,cephalosporin,mortality,1.8,1.52,1.89,High,PubMed
SR00027,More so report western.,2013,Nature,98,Diabetics,placebo,low dose,hospitalization,1.19,0.89,1.36,Low,Embase
SR00028,Case trade exist where.,2016,Lancet,56,Pregnant women,carbapenem,placebo,symptom reduction,1.05,0.89,1.27,Low,Ovid
SR00029,Manager big thus can.,2016,PLOS ONE,33,Adults,statins,standard care,mortality,1.41,1.15,1.69,High,LOVE
SR00030,Brother major also imagine though pass.,2002,Lancet,92,Pregnant women,behavioral therapy,low dose,hospitalization,1.24,0.95,1.49,Low,PubMed
SR00031,Order popular crime another garden.,2001,PLOS ONE,37,Pregnant women,ACE inhibitors,placebo,infection rate,1.35,1.15,1.6,Low,Web of Science
SR00032,Beyond thought soon evening thought result.,2000,PLOS ONE,25,Diabetics,carbapenem,low dose,mortality,1.59,1.53,1.77,Critically Low,Embase
SR00033,Begin east will begin operation season knowledge.,2016,Science,74,Pregnant women,placebo,no therapy,smoking cessation,1.69,1.39,1.75,Critically Low,Web of Science
SR00034,Relationship physical early represent enough old shake.,2020,PLOS ONE,21,Smokers,mRNA vaccine,low dose,weight loss,1.51,1.44,1.6,Moderate,PubMed
SR00035,During indicate enter food hand leader allow wind.,2007,JAMA,94,Adults,carbapenem,placebo,hospitalization,0.82,0.65,0.94,Low,LOVE
SR00036,Article return toward design military high.,2003,PLOS ONE,24,Pregnant women,placebo,standard care,weight loss,0.8,0.67,1.03,Low,Embase
SR00037,My mother common structure she hot.,2018,PLOS ONE,11,Smokers,ACE inhibitors,cephalosporin,infection rate,1.95,1.73,2.08,Low,LOVE
SR00038,Be age with front happy door.,2003,Science,93,Children,ACE inhibitors,low dose,hospitalization,0.51,0.4,0.74,Critically Low,Cochrane
SR00039,Support wish successful.,2012,BMJ,40,Smokers,placebo,standard care,infection rate,0.74,0.57,0.91,High,Web of Science
SR00040,Factor artist receive media miss.,2024,BMJ,92,ICU patients,ACE inhibitors,cephalosporin,symptom reduction,1.64,1.39,1.9,Low,PubMed
SR00041,Especially support include.,2003,Nature,52,ICU patients,carbapenem,none,weight loss,1.09,0.8,1.28,Moderate,PubMed
SR00042,Long seem wall radio customer same through.,2012,Nature,73,Children,behavioral therapy,no therapy,smoking cessation,0.6,0.31,0.9,High,Ovid
SR00043,Industry deal represent sit accept enough story.,2017,Nature,72,Pregnant women,mRNA vaccine,no therapy,hospitalization,1.99,1.81,2.12,Moderate,LOVE
SR00044,Case hit nation test raise above husband.,2007,NEJM,16,Pregnant women,statins,standard care,weight loss,1.14,1.02,1.38,Low,Web of Science
SR00045,Main marriage tell else.,2004,Lancet,48,Smokers,behavioral therapy,cephalosporin,weight loss,1.33,1.13,1.39,Moderate,Cochrane
SR00046,Upon difficult national among.,2015,Lancet,100,Smokers,mRNA vaccine,standard care,infection rate,1.74,1.61,2.02,Moderate,Scopus
SR00047,Film wrong man successful.,2001,JAMA,35,Children,metformin,standard care,mortality,1.17,1.01,1.29,Moderate,Cochrane
SR00048,Enter food service again traditional left.,2002,Nature,49,Adults,statins,cephalosporin,symptom reduction,1.86,1.59,2.15,Moderate,Web of Science
SR00049,Several some dinner with enjoy these.,2012,NEJM,58,Smokers,behavioral therapy,standard care,smoking cessation,1.98,1.8,2.25,Moderate,Web of Science
SR00050,Try find interview bar section argue even daughter.,2004,Nature,37,Adults,mRNA vaccine,no therapy,symptom reduction,1.96,1.8,2.06,High,Cochrane
SR00051,Father good free.,2006,Nature,61,Elderly,statins,placebo,weight loss,0.53,0.25,0.58,Moderate,Cochrane
SR00052,Here best spring together let suddenly game.,2013,JAMA,13,Adults,placebo,no therapy,weight loss,0.62,0.43,0.85,Moderate,Ovid
SR00053,Race film know game because fear.,2008,JAMA,46,Diabetics,behavioral therapy,placebo,weight loss,1.93,1.71,2.02,High,Cochrane
SR00054,Card security staff along different enjoy.,2001,PLOS ONE,20,Children,metformin,no therapy,weight loss,1.07,0.89,1.2,Moderate,LOVE
SR00055,Material figure difficult own radio pretty control.,2011,PLOS ONE,67,Diabetics,metformin,low dose,smoking cessation,1.32,1.16,1.55,Critically Low,LOVE
SR00056,Until heavy future area right here.,2017,BMJ,77,Elderly,placebo,no therapy,mortality,1.72,1.52,1.98,High,Ovid
SR00057,Class great within probably report one recently.,2014,PLOS ONE,50,Adults,carbapenem,low dose,hospitalization,1.81,1.73,1.94,High,Cochrane
SR00058,In no morning.,2020,Lancet,61,Elderly,mRNA vaccine,standard care,smoking cessation,1.63,1.53,1.74,Low,Ovid
SR00059,Safe kid within identify accept interesting game focus.,2022,Lancet,69,ICU patients,mRNA vaccine,low dose,infection rate,1.07,0.8,1.36,Moderate,PubMed
SR00060,Break much business of test education.,2004,BMJ,50,Children,carbapenem,no therapy,symptom reduction,1.17,1.0,1.43,Moderate,Embase
SR00061,Talk also father clearly time either west night.,2008,Lancet,55,Adults,placebo,low dose,mortality,0.74,0.46,0.94,Moderate,Web of Science
SR00062,Reason easy others strategy whose.,2014,Lancet,35,Children,metformin,standard care,mortality,1.82,1.65,1.99,Critically Low,Scopus
SR00063,Face southern learn authority.,2013,Lancet,75,Elderly,carbapenem,none,smoking cessation,1.37,1.27,1.45,Critically Low,Ovid
SR00064,Gun order able instead lead instead decide.,2008,BMJ,88,ICU patients,behavioral therapy,no therapy,hospitalization,0.62,0.43,0.8,Low,Embase
SR00065,Machine agency writer bag.,2002,Lancet,79,Children,carbapenem,no therapy,hospitalization,1.03,0.79,1.31,Critically Low,Ovid
SR00066,Bring business parent reach yes both full.,2020,NEJM,33,Adults,statins,low dose,mortality,0.83,0.59,0.98,Moderate,PubMed
SR00067,Without heart painting author measure guess.,2014,PLOS ONE,77,Diabetics,metformin,low dose,mortality,1.62,1.57,1.9,Moderate,LOVE
SR00068,Option state score boy wish enjoy move.,2019,PLOS ONE,52,Diabetics,mRNA vaccine,standard care,weight loss,1.83,1.69,2.06,Low,Scopus
SR00069,Various read purpose ever find deep manager.,2007,NEJM,31,Smokers,statins,placebo,mortality,1.01,0.85,1.13,Critically Low,LOVE
SR00070,Month cover fly meet young money.,2010,Lancet,48,Smokers,metformin,none,hospitalization,0.67,0.52,0.88,Moderate,Embase
SR00071,Suffer also blood form pay minute.,2004,NEJM,83,Children,behavioral therapy,cephalosporin,infection rate,0.51,0.4,0.73,Low,Scopus
SR00072,House player western across hit artist.,2019,PLOS ONE,100,Children,ACE inhibitors,placebo,hospitalization,1.56,1.44,1.72,High,Cochrane
SR00073,Place around first according ever song speak trip.,2018,NEJM,82,ICU patients,mRNA vaccine,placebo,symptom reduction,0.56,0.34,0.65,Critically Low,Ovid
SR00074,Entire gun no present cell American material.,2015,Science,24,Elderly,ACE inhibitors,low dose,symptom reduction,0.55,0.48,0.61,High,PubMed
SR00075,Near down rich laugh.,2007,Science,75,Adults,carbapenem,low dose,weight loss,1.57,1.5,1.79,Critically Low,Web of Science
SR00076,Long safe result experience effect.,2021,PLOS ONE,36,Pregnant women,mRNA vaccine,none,weight loss,0.76,0.62,0.96,Low,Ovid
SR00077,Bad several close serve evening forward step.,2008,PLOS ONE,76,Pregnant women,metformin,placebo,symptom reduction,0.54,0.43,0.78,Low,PubMed
SR00078,Particularly look early.,2020,JAMA,82,Smokers,carbapenem,low dose,hospitalization,1.9,1.78,1.95,High,LOVE
SR00079,Performance group nation lay lawyer test.,2022,NEJM,31,Adults,carbapenem,cephalosporin,symptom reduction,1.01,0.85,1.15,Low,Embase
SR00080,Crime record work across economic out.,2011,NEJM,74,Diabetics,mRNA vaccine,standard care,hospitalization,1.49,1.39,1.58,High,Embase
SR00081,Family after hospital drop bar.,2007,Lancet,68,Elderly,placebo,low dose,smoking cessation,0.69,0.45,0.75,High,Web of Science
SR00082,Seat space amount which.,2002,Science,38,Adults,metformin,no therapy,weight loss,1.02,0.95,1.15,Critically Low,LOVE
SR00083,Top better back institution Mrs.,2016,Science,26,Diabetics,carbapenem,low dose,symptom reduction,1.43,1.28,1.61,High,Cochrane
SR00084,Discuss discuss take involve once.,2000,BMJ,23,Pregnant women,behavioral therapy,no therapy,mortality,1.42,1.21,1.59,Low,Ovid
SR00085,Well machine size at in wall.,2003,Lancet,23,Smokers,mRNA vaccine,no therapy,symptom reduction,1.54,1.43,1.72,Critically Low,Web of Science
SR00086,Turn remain social fact.,2006,PLOS ONE,41,Diabetics,statins,standard care,infection rate,0.83,0.56,1.12,Moderate,Web of Science
SR00087,Street city fund and most.,2007,NEJM,80,Diabetics,mRNA vaccine,low dose,symptom reduction,1.29,1.16,1.38,Low,PubMed
SR00088,College suddenly guy herself.,2019,Lancet,45,Elderly,metformin,no therapy,mortality,1.74,1.47,1.85,Moderate,Embase
SR00089,Sound direction father help.,2008,NEJM,47,Children,placebo,cephalosporin,mortality,0.97,0.81,1.26,High,Cochrane
SR00090,Firm moment face past election.,2014,Nature,89,Pregnant women,metformin,low dose,smoking cessation,1.13,1.08,1.31,Low,Web of Science
SR00091,Both wife also seven.,2010,PLOS ONE,53,Elderly,behavioral therapy,cephalosporin,hospitalization,1.84,1.71,2.01,Low,LOVE
SR00092,Paper order of beat marriage.,2016,BMJ,31,Pregnant women,placebo,low dose,symptom reduction,1.19,0.92,1.43,High,Ovid
SR00093,What only point season.,2006,Science,18,Adults,statins,placebo,mortality,0.52,0.35,0.81,Low,Cochrane
SR00094,Edge technology grow fear city vote think.,2009,NEJM,92,Pregnant women,carbapenem,none,infection rate,1.48,1.42,1.61,Low,LOVE
SR00095,Law least thing smile staff.,2014,Science,84,Smokers,ACE inhibitors,none,symptom reduction,0.87,0.79,1.07,High,Ovid
SR00096,Brother trouble give.,2009,Science,59,Adults,mRNA vaccine,low dose,hospitalization,1.78,1.72,1.9,Low,Cochrane
SR00097,The as keep story partner store store.,2006,JAMA,74,Diabetics,mRNA vaccine,placebo,symptom reduction,1.86,1.66,1.96,High,Web of Science
SR00098,Attack student arrive into increase nor.,2011,Nature,30,Elderly,placebo,standard care,smoking cessation,1.53,1.42,1.6,Moderate,Ovid
SR00099,Care allow pick election national opportunity agree.,2009,BMJ,35,Diabetics,carbapenem,cephalosporin,symptom reduction,0.81,0.57,1.07,Moderate,Embase
SR00100,People think end organization task face cut.,2021,NEJM,11,Elderly,statins,no therapy,smoking cessation,1.59,1.33,1.77,Low,LOVE
SR00101,Effect hope sell two letter pass.,2019,JAMA,89,Smokers,mRNA vaccine,standard care,hospitalization,0.6,0.37,0.83,Low,Web of Science
SR00102,Through camera moment attention staff good.,2004,PLOS ONE,71,Pregnant women,statins,standard care,infection rate,0.79,0.7,0.9,Moderate,Ovid
SR00103,Series that radio.,2010,Lancet,21,Diabetics,carbapenem,cephalosporin,symptom reduction,0.69,0.52,0.98,Low,LOVE
SR00104,Very throughout generation begin marriage audience American.,2003,PLOS ONE,62,Adults,carbapenem,cephalosporin,symptom reduction,0.5,0.41,0.66,Low,Web of Science
SR00105,Itself letter race thing physical suggest.,2017,JAMA,20,Elderly,statins,cephalosporin,hospitalization,1.45,1.38,1.58,Moderate,Scopus
SR00106,Country many do leave apply federal forward our.,2012,JAMA,11,Smokers,placebo,none,smoking cessation,1.15,1.0,1.33,Low,LOVE
SR00107,Campaign analysis finally sport eat population good skill.,2009,PLOS ONE,34,Children,metformin,low dose,weight loss,1.71,1.48,1.92,High,Web of Science
SR00108,Lawyer have he so design specific business.,2005,BMJ,85,Children,carbapenem,no therapy,symptom reduction,1.35,1.11,1.62,Critically Low,Embase
SR00109,Quite gun firm.,2024,Lancet,44,Pregnant women,ACE inhibitors,low dose,infection rate,1.4,1.22,1.61,Critically Low,Embase
SR00110,Me more professor increase thus south kid.,2025,Science,92,Smokers,metformin,none,mortality,0.86,0.64,1.0,High,Cochrane
SR00111,College hot approach break.,2020,BMJ,73,Pregnant women,behavioral therapy,low dose,symptom reduction,1.68,1.41,1.83,Critically Low,LOVE
SR00112,Available standard foreign six now section anyone star.,2015,JAMA,56,Adults,mRNA vaccine,none,smoking cessation,1.58,1.41,1.83,High,Scopus
SR00113,Billion hand whose executive relationship despite watch.,2015,BMJ,42,Smokers,metformin,standard care,hospitalization,0.9,0.79,1.01,Critically Low,Scopus
SR00114,Yard natural then far staff account machine.,2022,Science,54,Children,metformin,no therapy,smoking cessation,1.91,1.7,2.03,High,PubMed
SR00115,Assume beat have everybody change.,2016,NEJM,58,Smokers,placebo,placebo,infection rate,1.23,1.05,1.3,Low,Ovid
SR00116,Campaign every enter we already notice.,2014,JAMA,64,Children,ACE inhibitors,low dose,weight loss,1.66,1.57,1.78,Critically Low,LOVE
SR00117,State edge grow along imagine history ten camera.,2017,NEJM,29,Diabetics,ACE inhibitors,cephalosporin,mortality,0.78,0.66,0.88,Moderate,Cochrane
SR00118,Some others billion war speech appear.,2023,Nature,15,Adults,ACE inhibitors,standard care,smoking cessation,0.97,0.69,1.1,High,Embase
SR00119,Four large write.,2022,Lancet,15,ICU patients,metformin,none,smoking cessation,1.22,0.99,1.48,High,Embase
SR00120,Structure guess unit pick body.,2016,NEJM,47,Diabetics,carbapenem,cephalosporin,hospitalization,1.35,1.19,1.56,Low,PubMed
SR00121,Policy among could.,2000,Nature,41,ICU patients,metformin,cephalosporin,weight loss,0.79,0.68,1.06,High,LOVE
SR00122,When specific along stop statement final growth with.,2011,Nature,66,Pregnant women,statins,none,symptom reduction,1.06,0.95,1.19,Low,PubMed
SR00123,Yourself year my.,2018,PLOS ONE,60,Children,statins,no therapy,infection rate,0.82,0.63,1.1,Moderate,Embase
SR00124,Read popular better hit night record his.,2016,Science,66,Adults,statins,standard care,infection rate,1.7,1.57,1.91,Low,Cochrane
SR00125,Some book like face mean activity threat.,2014,BMJ,29,Diabetics,placebo,standard care,smoking cessation,1.96,1.86,2.06,Critically Low,Scopus
SR00126,Eye car art action push mention.,2003,PLOS ONE,100,Pregnant women,placebo,placebo,infection rate,1.53,1.43,1.82,Critically Low,Web of Science
SR00127,Light couple receive increase.,2005,Nature,31,Elderly,carbapenem,no therapy,mortality,1.02,0.93,1.11,Low,Embase
SR00128,Drive behavior official information animal low approach.,2013,PLOS ONE,83,Adults,statins,no therapy,weight loss,1.67,1.5,1.77,Critically Low,Web of Science
SR00129,Poor tonight memory lose anyone.,2004,PLOS ONE,12,Smokers,carbapenem,none,smoking cessation,0.61,0.54,0.76,Low,LOVE
SR00130,Republican baby light give spend tough.,2014,JAMA,55,Elderly,behavioral therapy,standard care,infection rate,1.63,1.33,1.92,High,Ovid
SR00131,Probably same color.,2007,PLOS ONE,95,Pregnant women,ACE inhibitors,cephalosporin,infection rate,1.0,0.91,1.21,Critically Low,Cochrane
SR00132,Page floor front marriage statement son discover.,2004,PLOS ONE,60,Smokers,placebo,standard care,hospitalization,1.72,1.59,1.85,High,Web of Science
SR00133,Boy trade with several best quite international.,2025,BMJ,33,Children,mRNA vaccine,standard care,smoking cessation,1.73,1.65,1.99,High,LOVE
SR00134,Go PM these discuss yard perform.,2008,NEJM,18,Diabetics,behavioral therapy,no therapy,hospitalization,1.27,1.07,1.48,Low,Web of Science
SR00135,Debate window value live.,2018,BMJ,69,Diabetics,ACE inhibitors,none,symptom reduction,1.06,0.99,1.11,Critically Low,PubMed
SR00136,Know standard certainly.,2006,JAMA,60,ICU patients,ACE inhibitors,cephalosporin,infection rate,1.07,0.86,1.22,High,LOVE
SR00137,Relationship middle audience rock week.,2013,Science,54,Pregnant women,statins,no therapy,weight loss,1.13,0.88,1.24,High,PubMed
SR00138,Girl floor candidate per.,2020,Nature,40,Diabetics,ACE inhibitors,low dose,mortality,1.36,1.1,1.56,Critically Low,PubMed
SR00139,Single back rise agreement only commercial.,2014,JAMA,76,Elderly,placebo,none,weight loss,1.55,1.32,1.68,Moderate,LOVE
SR00140,Value general method letter cut.,2010,NEJM,61,Adults,mRNA vaccine,placebo,weight loss,0.96,0.73,1.22,Low,Scopus
SR00141,Someone statement might popular.,2016,BMJ,43,Elderly,placebo,low dose,weight loss,0.95,0.76,1.09,Critically Low,Scopus
SR00142,Difficult necessary prevent avoid.,2025,Science,48,Elderly,metformin,no therapy,symptom reduction,0.85,0.73,0.99,Moderate,Embase
SR00143,Eight city certain behind yet star citizen.,2008,Science,67,Elderly,carbapenem,low dose,infection rate,0.73,0.49,0.91,Critically Low,PubMed
SR00144,Fall stand energy history most detail.,2024,JAMA,18,ICU patients,placebo,low dose,smoking cessation,0.99,0.73,1.04,Critically Low,PubMed
SR00145,Present really form task.,2017,NEJM,94,ICU patients,statins,low dose,mortality,0.75,0.6,0.97,Low,Cochrane
SR00146,Response save how wind toward Mrs team.,2008,Lancet,22,Diabetics,carbapenem,none,symptom reduction,1.51,1.21,1.68,Critically Low,Cochrane
SR00147,Wife whatever identify near ball life would.,2010,Nature,13,Diabetics,behavioral therapy,none,smoking cessation,1.1,1.04,1.22,Moderate,PubMed
SR00148,Road little middle big for.,2020,Lancet,28,Smokers,placebo,placebo,mortality,1.61,1.42,1.69,Critically Low,Web of Science
SR00149,Mean notice discuss down floor than.,2012,JAMA,43,Adults,carbapenem,standard care,smoking cessation,0.77,0.52,0.97,Low,Web of Science
SR00150,Series anyone rule article.,2002,Lancet,65,ICU patients,ACE inhibitors,placebo,infection rate,1.76,1.55,1.97,Moderate,LOVE
SR00151,Live suffer three agreement court.,2019,Nature,64,ICU patients,placebo,placebo,symptom reduction,0.81,0.7,1.02,High,PubMed
SR00152,Such line both local though art.,2014,JAMA,73,Adults,carbapenem,low dose,mortality,0.8,0.6,0.99,Critically Low,Embase
SR00153,Particular past benefit.,2016,JAMA,81,Diabetics,mRNA vaccine,standard care,symptom reduction,1.38,1.11,1.56,Critically Low,Embase
SR00154,Whose environment religious TV.,2015,PLOS ONE,50,ICU patients,placebo,none,infection rate,0.55,0.49,0.68,High,PubMed
SR00155,Put someone pass particularly magazine anyone.,2003,Lancet,84,Children,statins,placebo,mortality,0.84,0.75,0.9,Low,Embase
SR00156,Evidence manage rate minute record.,2011,BMJ,54,Children,placebo,low dose,smoking cessation,0.59,0.36,0.87,Moderate,LOVE
SR00157,Including challenge human down show class.,2013,BMJ,65,Elderly,behavioral therapy,standard care,infection rate,1.01,0.93,1.29,High,Web of Science
SR00158,Heavy city ball result serve natural.,2022,Lancet,53,Children,metformin,none,infection rate,1.37,1.22,1.67,Low,Scopus
SR00159,Result chair someone summer leader.,2020,Science,90,Adults,statins,placebo,hospitalization,1.15,0.9,1.2,Moderate,Scopus
SR00160,Same federal success official.,2010,NEJM,51,Diabetics,mRNA vaccine,low dose,smoking cessation,0.81,0.63,1.05,Moderate,Web of Science
SR00161,Occur performance subject lot relationship.,2022,Science,61,Pregnant women,behavioral therapy,placebo,smoking cessation,1.01,0.85,1.09,High,PubMed
SR00162,Law make can.,2012,Nature,78,Children,mRNA vaccine,cephalosporin,hospitalization,1.43,1.35,1.65,High,Ovid
SR00163,Player key say indeed.,2021,PLOS ONE,23,Adults,ACE inhibitors,standard care,mortality,1.02,0.93,1.1,High,PubMed
SR00164,Military impact society professor peace bank institution.,2023,Lancet,24,Adults,ACE inhibitors,standard care,hospitalization,0.82,0.57,0.92,Critically Low,Embase
SR00165,Large family ability carry actually individual policy plan.,2015,Lancet,54,Elderly,ACE inhibitors,standard care,hospitalization,1.87,1.74,2.0,Critically Low,Embase
SR00166,Perhaps base ball nearly white outside region.,2008,Science,98,Adults,behavioral therapy,standard care,infection rate,0.82,0.55,0.9,Critically Low,Web of Science
SR00167,Coach establish phone worry eye.,2022,Science,49,ICU patients,carbapenem,none,smoking cessation,1.43,1.19,1.73,High,Ovid
SR00168,Per agreement machine every news.,2021,Nature,68,Adults,mRNA vaccine,cephalosporin,hospitalization,0.82,0.71,0.95,Moderate,PubMed
SR00169,Themselves before firm.,2013,JAMA,99,Adults,behavioral therapy,low dose,smoking cessation,1.26,1.01,1.38,High,Ovid
SR00170,Final off couple believe.,2018,Science,33,Adults,placebo,no therapy,mortality,1.59,1.51,1.7,High,Scopus
SR00171,Price score break be.,2021,BMJ,14,Pregnant women,metformin,placebo,mortality,1.14,0.97,1.24,High,Cochrane
SR00172,Card first sure TV.,2001,BMJ,53,Adults,metformin,cephalosporin,mortality,1.19,1.08,1.24,Moderate,Embase
SR00173,According memory piece south forward.,2009,JAMA,72,Diabetics,metformin,cephalosporin,mortality,1.53,1.3,1.64,High,PubMed
SR00174,See growth rock.,2018,NEJM,23,Children,placebo,cephalosporin,hospitalization,0.9,0.71,1.06,Moderate,PubMed
SR00175,Structure power economy away probably room.,2013,Lancet,30,Diabetics,metformin,placebo,hospitalization,1.22,0.96,1.4,Moderate,Scopus
SR00176,Especially against must real fight international.,2014,NEJM,71,Children,carbapenem,cephalosporin,hospitalization,1.44,1.31,1.65,High,Web of Science
SR00177,Since somebody land lay particular.,2020,BMJ,62,Diabetics,statins,standard care,infection rate,1.57,1.31,1.71,Moderate,Cochrane
SR00178,Step goal she view.,2018,JAMA,33,Elderly,behavioral therapy,cephalosporin,mortality,1.1,0.96,1.37,Critically Low,LOVE
SR00179,Interest trial care effect.,2019,NEJM,65,Smokers,placebo,none,symptom reduction,0.92,0.67,1.22,High,LOVE
SR00180,Leg analysis cup.,2019,Nature,68,Adults,behavioral therapy,standard care,weight loss,1.89,1.73,2.14,Moderate,Ovid
SR00181,Design toward become movement accept better.,2011,Lancet,94,Elderly,mRNA vaccine,placebo,mortality,0.7,0.42,0.91,Moderate,Ovid
SR00182,Leave government win buy whom manage.,2012,Nature,28,Adults,statins,placebo,weight loss,1.97,1.88,2.25,Low,Ovid
SR00183,Data his voice pay.,2006,BMJ,99,Children,statins,standard care,hospitalization,0.73,0.62,0.79,Moderate,Embase
SR00184,Where politics employee land kid ability car.,2008,NEJM,16,Elderly,behavioral therapy,standard care,weight loss,0.64,0.5,0.86,High,Ovid
SR00185,Affect run very hour blood.,2011,BMJ,49,Pregnant women,metformin,no therapy,hospitalization,1.49,1.31,1.75,High,Cochrane
SR00186,At likely democratic as reason in mind.,2008,PLOS ONE,10,Children,metformin,low dose,smoking cessation,1.01,0.95,1.14,High,Cochrane
SR00187,Guess bill painting improve light party girl.,2016,Nature,78,Elderly,mRNA vaccine,low dose,weight loss,1.61,1.38,1.87,High,LOVE
SR00188,Finish bed small peace building operation.,2005,JAMA,90,Pregnant women,placebo,standard care,mortality,1.31,1.03,1.49,Critically Low,Embase
SR00189,Cultural candidate part green garden.,2013,NEJM,47,Pregnant women,ACE inhibitors,none,hospitalization,1.26,0.97,1.35,Moderate,Embase
SR00190,Within message prevent clearly hard.,2014,NEJM,87,Diabetics,placebo,placebo,hospitalization,0.79,0.73,0.88,Moderate,LOVE
SR00191,Rich tree necessary professor.,2008,BMJ,57,Children,placebo,no therapy,symptom reduction,0.87,0.7,1.05,Low,LOVE
SR00192,Hundred run leg.,2012,NEJM,20,Pregnant women,carbapenem,standard care,infection rate,0.62,0.48,0.85,Critically Low,LOVE
SR00193,Method have ahead culture wide safe along describe.,2002,Science,75,Elderly,ACE inhibitors,placebo,smoking cessation,1.62,1.39,1.67,High,PubMed
SR00194,Describe police the foot threat true discover anything.,2015,BMJ,81,Elderly,metformin,placebo,weight loss,1.72,1.63,1.92,High,Embase
SR00195,Process begin perhaps seem foot.,2012,BMJ,70,Adults,mRNA vaccine,no therapy,smoking cessation,1.91,1.79,2.04,Low,Embase
SR00196,Fact understand minute price.,2025,JAMA,47,Adults,ACE inhibitors,none,mortality,1.88,1.83,2.02,High,Ovid
SR00197,Significant adult himself quite imagine.,2019,Science,56,Diabetics,mRNA vaccine,cephalosporin,smoking cessation,1.87,1.57,2.02,Critically Low,Web of Science
SR00198,My give better dog character.,2019,Science,95,ICU patients,statins,no therapy,infection rate,0.51,0.21,0.72,Low,PubMed
SR00199,Land action recent.,2018,Science,78,Children,metformin,cephalosporin,mortality,0.79,0.73,0.92,Critically Low,PubMed
SR00200,Top science our investment movie hear someone.,2013,PLOS ONE,53,Children,statins,cephalosporin,symptom reduction,1.5,1.25,1.71,Low,Embase
SR00201,Require class firm card upon.,2001,Nature,43,Elderly,mRNA vaccine,placebo,mortality,1.51,1.26,1.79,High,LOVE
